Source,Site,Subsite,Season,Core,Habitat_type,Species,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
Human et al (2022),Swartkops Estuary,3,Summer,1,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,3.845771992,1.018443333,4.166039658,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,1,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.85,1,LOI,5.062450813,1.298413333,5.238475816,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,2,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0,0.05,LOI,4.680743775,1.169505,4.902021838,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,2,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,10.95755882,0.7605,10.43469266,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,2,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,4.154316364,0.803626667,4.438004728,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,2,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,4.933299974,1.129633333,5.124636381,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,2,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,4.831931664,1.046133333,5.035285733,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,2,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,2.881966599,1.171856667,3.316497663,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,2,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,3.127644105,1.171446667,3.533049013,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,2,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,5.069106342,0.963716667,5.244342303,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,2,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.85,1,LOI,4.180667669,1.099043333,4.461231969,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,3,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0,0.05,LOI,2.439884536,1.642723333,2.926826387,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,3,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,3.569912476,1.100526667,3.92288451,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,3,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,2.785231427,1.20649,3.231230874,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,3,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,3.947676676,0.92481,4.255863091,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,3,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,3.088474942,1.329716667,3.498523527,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,3,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,3.644852184,1.38733,3.988939783,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,3,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,3.151215824,1.277783333,3.5538262,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,3,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,2.321189292,1.326186667,2.82220299,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,3,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.85,1,LOI,4.364931513,1.52719,4.623650519,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,4,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0,0.05,LOI,4.074908777,1.27779,4.368011263,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,4,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,2.725240232,1.240873333,3.178351901,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,4,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,3.581132229,1.510086667,3.932774111,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,4,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,4.021880154,1.493473333,4.321269417,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,4,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,3.902793251,0.93935,4.216300794,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,4,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,3.667137026,1.062713333,4.008582658,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,4,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,3.405343676,1.1726,3.777826069,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,4,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,3.481452834,1.34219,3.84491215,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,4,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.85,1,LOI,3.830696646,1.305863333,4.152751561,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,5,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0,0.05,LOI,5.030850473,1.18156,5.210621836,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,5,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,3.277368336,1.657683333,3.665022773,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,5,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,3.520244836,1.25326,3.879105188,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,5,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,3.81491446,1.517163333,4.138840423,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,5,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,6.579092062,1.472266667,6.575312527,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,5,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,5.493207544,1.200466667,5.618164428,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,5,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,4.372708187,1.335163333,4.630505233,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,5,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,3.51998408,1.341356667,3.878875346,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,5,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.85,1,LOI,4.805430461,1.463513333,5.011926365,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,6,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0,0.05,LOI,6.774754215,1.574246667,6.747778065,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,6,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,6.295996781,1.125296667,6.325779446,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,6,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,5.205517087,1.021636667,5.364580949,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,6,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,2.89714493,1.632563333,3.329876536,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,6,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,4.004989502,1.215663333,4.306381227,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,6,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,3.739181766,1.439603333,4.072086175,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,6,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,3.800832588,1.236846667,4.12642802,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,6,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,3.714540678,1.258033333,4.050366397,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,3,Summer,6,Saltmarsh,Spartina maritima,-33.8692,25.6148,direct from dataset,SouthAfrica,2018,0.85,1,LOI,2.947512476,1.148416667,3.374272786,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,1,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0,0.05,LOI,6.580121311,0.85946,6.576219754,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,1,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,5.177668942,1.122113333,5.340034326,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,1,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,5.36644468,1.164956667,5.506429863,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,1,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,1.862205652,1.173676667,2.417633894,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,1,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,2.6551159,1.31354,3.11654112,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,1,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,1.104581741,1.264536667,1.749829653,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,1,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,1.572965279,1.172163333,2.162684248,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,1,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,1.443953793,1.329576667,2.048967645,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,1,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.85,1,LOI,1.587219927,1.194593333,2.175248944,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,2,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0,0.05,LOI,6.953612152,0.816523333,6.905431601,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,2,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,5.037311001,0.977756667,5.21631644,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,2,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,2.770442092,0.86491,3.218194881,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,2,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,3.735136878,1.105696667,4.068520826,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,2,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,1.554405768,1.146593333,2.146325049,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,2,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,11.43176442,1.04406,10.85267908,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,2,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,1.31376029,1.157666667,1.934209158,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,2,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,1.637497311,1.173363333,2.219565722,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,2,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.85,1,LOI,2.395704414,1.313936667,2.887884014,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,3,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0,0.05,LOI,7.479619467,0.951423333,7.369078419,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,3,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,6.476353644,1.009553333,6.484754204,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,3,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,4.053131216,2.897766667,4.348815528,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,3,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,2.626706397,0.900166667,3.091499689,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,3,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,9.286869655,1.171813333,8.962071093,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,3,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,2.397319306,1.061503333,2.889307453,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,3,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,1.159817611,1.27237,1.798517066,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,3,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,1.804543022,1.233146667,2.366807424,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,3,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.85,1,LOI,2.481524149,1.319513333,2.96352944,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,4,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0,0.05,LOI,8.072257009,0.62382,7.891456156,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,4,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,7.551768746,0.810123333,7.432674082,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,4,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,14.15498152,0.649056667,13.25304673,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,4,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,7.411189311,0.665226667,7.308760962,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,4,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,1.982453602,1.39046,2.523625917,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,4,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,2.732471504,1.01601,3.184725874,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,4,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,0.828117021,1.227503333,1.50614105,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,4,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,1.61275153,1.318773333,2.197753663,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,4,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.85,1,LOI,2.695667742,1.110773333,3.152285361,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,5,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0,0.05,LOI,3.307798252,1.17026,3.691845087,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,5,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,3.401288441,1.004906667,3.7742516,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,5,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,3.098137231,0.99872,3.507040309,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,5,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,2.979350203,0.9688,3.40233601,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,5,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,2.458702556,0.965516667,2.943413447,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,5,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,1.312311801,1.285233333,1.932932394,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,5,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,0.838623268,1.127446667,1.515401735,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,5,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,2.02821012,1.289663333,2.563957797,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,5,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.85,1,LOI,2.184990045,1.357643333,2.702150767,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,6,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0,0.05,LOI,5.547292833,0.940713333,5.665837667,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,6,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,5.797093273,0.824623333,5.886023158,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,6,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,5.302138958,0.943886667,5.449747869,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,6,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,4.317789151,0.9362,4.582097092,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,6,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,4.16237521,0.75444,4.445108162,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,6,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,4.094883998,0.449533333,4.385618333,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,6,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,5.582945942,0.81492,5.697263942,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,6,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,3.583762404,0.664406667,3.935092467,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,4,Summer,6,Saltmarsh,Spartina maritima,-33.8660,25.6104,direct from dataset,SouthAfrica,2018,0.85,1,LOI,1.7242455,1.049436667,2.296029529,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,1,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0,0.05,LOI,3.625887931,1.155753333,3.972223826,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,1,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,2.413569693,1.315623333,2.903631285,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,1,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,2.920219466,1.35722,3.350215483,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,1,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,3.104720726,1.493106667,3.512843302,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,1,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,3.402971603,1.305906667,3.775735216,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,1,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,2.811979023,1.386663333,3.254807425,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,1,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,2.871725628,1.395713333,3.307470805,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,1,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,1.551611905,1.551413333,2.143862411,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,1,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0.85,1,LOI,1.96514249,0.121263333,2.508367113,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,2,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0,0.05,LOI,4.166079518,1.021973333,4.448373308,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,2,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,3.522003657,1.298463333,3.880655493,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,2,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,3.88993115,1.178033333,4.204963552,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,2,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,2.950660867,1.415823333,3.377047922,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,2,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,2.457967609,1.48719,2.942765632,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,5,Summer,2,Saltmarsh,Spartina maritima,-33.8504,25.5967,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,2.546973137,1.260186667,3.02121916,(1.1345*SOM_perc)-0.8806
