References,Sample ID,Country,C stock (Mg ha-1)
Machiwa (1998),TF,Tanzania,228.84
MacKenzie et al. 2016,RAM16 D1B,Palau,469.25
MacKenzie et al. 2016,RAM16 D3B,Palau,533.4
MacKenzie et al. 2016,RAM16 D2B,Palau,656.6
MacKenzie et al. 2016,RAM16 U1B,Palau,525
MacKenzie et al. 2016,RAM16 U3B,Palau,473.9
MacKenzie et al. 2016,RAM16 U2B,Palau,662.2
MacKenzie et al. 2016,RAM16 KVPF,Vietnam,305.17
MacKenzie et al. 2016,RAM16 CG,Vietnam,216
Macreadie et al. unpublished data,BlueC0995,Australia,192.365584
Macreadie et al. unpublished data,BlueC0998,Australia,236.681965
Macreadie et al. unpublished data,BlueC1001,Australia,271.109222
Macreadie et al. unpublished data,BlueC1031,Australia,197.262938
Macreadie et al. unpublished data,BlueC1034,Australia,123.309622
Macreadie et al. unpublished data,BlueC1061,Australia,62.0918066
Macreadie et al. unpublished data,BlueC1067,Australia,106.006501
Macreadie et al. unpublished data,BlueC1076,Australia,120.350914
Macreadie et al. unpublished data,BlueC1103,Australia,265.424066
Macreadie et al. unpublished data,BlueC1118,Australia,271.096078
Macreadie et al. unpublished data,BlueC1121,Australia,350.897996
Macreadie et al. unpublished data,BlueC1124,Australia,305.488784
Macreadie et al. unpublished data,BlueC1145,Australia,205.871136
Macreadie et al. unpublished data,BlueC1148,Australia,218.470572
Macreadie et al. unpublished data,BlueC1151,Australia,272.811053
Macreadie et al. unpublished data,BlueC1160,Australia,238.399452
Macreadie et al. unpublished data,BlueC1163,Australia,366.782049
Macreadie et al. unpublished data,BlueC1169,Australia,496.231949
Macreadie et al. unpublished data,BlueC1182,Australia,288.578642
Macreadie et al. unpublished data,BlueC1188,Australia,50.694817
Macreadie et al. unpublished data,BlueC1197,Australia,82.3820299
Macreadie et al. unpublished data,BlueC1210,Australia,107.682815
Macreadie et al. unpublished data,BlueC1213,Australia,231.83306
Macreadie et al. unpublished data,BlueC1221,Australia,96.144387
Macreadie et al. unpublished data,BlueC1236,Australia,107.415039
Macreadie et al. unpublished data,BlueC1239,Australia,233.610257
Macreadie et al. unpublished data,BlueC1246,Australia,116.028918
Macreadie et al. unpublished data,BlueC1249,Australia,164.197743
Macreadie et al. unpublished data,BlueC1264,Australia,260.662969
Macreadie et al. unpublished data,BlueC1267,Australia,151.897656
Macreadie et al. unpublished data,BlueC1273,Australia,217.25257
Macreadie et al. unpublished data,BlueC1282,Australia,210.059445
Macreadie et al. unpublished data,BlueC1285,Australia,26.6553036
Macreadie et al. unpublished data,BlueC1288,Australia,454.928509
Macreadie et al. unpublished data,BlueC1348,Australia,392.72146
Macreadie et al. unpublished data,BlueC1395,Australia,233.086088
Macreadie et al. unpublished data,BlueC1401,Australia,149.85458
Macreadie et al. unpublished data,BlueC1404,Australia,218.93348
Macreadie et al. unpublished data,BlueC1413,Australia,242.862303
Macreadie et al. unpublished data,BlueC1419,Australia,83.5129332
Macreadie et al. unpublished data,BlueC1455,Australia,145.903813
Macreadie et al. unpublished data,BlueC1467,Australia,571.749877
Macreadie et al. unpublished data,BlueC1488,Australia,261.231694
Macreadie et al. unpublished data,BlueC1497,Australia,240.226505
Macreadie et al. unpublished data,BlueC1530,Australia,185.236272
Macreadie et al. unpublished data,BlueC1560,Australia,299.993341
Macreadie et al. unpublished data,BlueC1602,Australia,276.805172
Macreadie et al. unpublished data,BlueC1608,Australia,234.938445
Macreadie et al. unpublished data,BlueC1655,Australia,315.900437
Macreadie et al. unpublished data,BlueC1658,Australia,415.263076
Macreadie et al. unpublished data,BlueC1684,Australia,281.700627
Macreadie et al. unpublished data,BlueC1701,Australia,171.634985
Macreadie et al. unpublished data,BlueC1704,Australia,177.312269
Macreadie et al. unpublished data,BlueC1707,Australia,558.124892
Macreadie et al. unpublished data,BlueC1710,Australia,570.250901
Macreadie et al. unpublished data,BlueC1737,Australia,237.718401
Macreadie et al. unpublished data,BlueC1740,Australia,139.020607
Macreadie et al. unpublished data,BlueC1743,Australia,366.881952
Macreadie et al. unpublished data,BlueC1752,Australia,432.874201
Macreadie et al. unpublished data,BlueC1764,Australia,180.205117
Macreadie et al. unpublished data,BlueC1770,Australia,325.334067
Madkour et al. (2014),Sharm el-Bahari,Egypt,204.1623
Madkour et al. (2014),Erier,Egypt,177.6204
Madkour et al. (2014),Hamata,Egypt,146.4917
Mao et al. 2011 ,Shenzhen Bay6,China,215.6
Marchand 2017,marc-17-1,French Guiana/Guadeloupe,157.4
Marchand 2017,marc-17-2,French Guiana/Guadeloupe,237.3
Marchand et al. (2003),C1-01-FG,French Guiana/Guadeloupe,190.189169
Marchand et al. (2003),C12-French Guiana,French Guiana/Guadeloupe,58.9796231
Marchand et al. (2003),C2-French Guiana,French Guiana/Guadeloupe,126.02301
Marchand et al. (2003),C8-French Guiana,French Guiana/Guadeloupe,124.7683
Marchand et al. (2004),C1-01-march2004-French Guiana,French Guiana/Guadeloupe,124.956
Marchand et al. (2004),C11-00-FG,French Guiana/Guadeloupe,110.8
Marchand et al. (2004),C12-01-FG,French Guiana/Guadeloupe,165.135
Marchand et al. (2004),C14-01-FG,French Guiana/Guadeloupe,169.9
Marchand et al. (2004),C15-01-FG,French Guiana/Guadeloupe,192.1
Marchand et al. (2004),C17-01-FG,French Guiana/Guadeloupe,119.54
Marchand et al. (2004),C18-01-FG,French Guiana/Guadeloupe,113.21
Marchand et al. (2004),C20-02-FG,French Guiana/Guadeloupe,207.2
Marchand et al. (2004),C2-01-FG,French Guiana/Guadeloupe,177.5
Marchand et al. (2004),C21-02-FG,French Guiana/Guadeloupe,169.5
Marchand et al. (2004),C22-02-FG,French Guiana/Guadeloupe,111.02
Marchand et al. (2004),C23-02-FG,French Guiana/Guadeloupe,107.23
Marchand et al. (2004),C24-02-FG,French Guiana/Guadeloupe,110.33
Marchand et al. (2004),C25-02-FG,French Guiana/Guadeloupe,175.85
Marchand et al. (2004),C26-02-FG,French Guiana/Guadeloupe,121
Marchand et al. (2004),C27-02-FG,French Guiana/Guadeloupe,155.32
Marchand et al. (2004),C28-02-FG,French Guiana/Guadeloupe,169.04
Marchand et al. (2004),C8-00-FG,French Guiana/Guadeloupe,119.5
Marchand et al. (2005),mature-FG,French Guiana/Guadeloupe,195.2531
Marchand et al. (2008),C1-01-FG,French Guiana/Guadeloupe,112.771869
Marchand et al. (2008),C12-01-FG,French Guiana/Guadeloupe,290.83382
Marchio et al. 2016,SC,French Guiana,312.15
Marchland et al. (2011),Rhizo 1,New Caledonia,472.28
Marchland et al. (2011),Avi1,New Caledonia,347.25
Matsui (1998),Hinchinbrook Channel,Australia,315.3691
Mchenga et al. (2008),mch_08,Japan,272.4151
McKee et al. (2002),dwarf1,Belize,529.1469
Mehlig et al. 2010,Site 9,Brazil,116.7
Mehlig et al. 2010,Site 6,Brazil,195.3
Mehlig et al. 2010,Site 3,Brazil,133.8
Meng et al. 2019,Dongzhai Harbor1,China,278.77
Meng et al. 2019,Qinglan Harbor,China,492.76
Mfilinge et al. (2002),ST1-sept,Japan,50.31515
Mfilinge et al. (2002),ST2-Nov,Japan,48.04085
Middelburg et al. (1996),B,Kenya,241.2432509
Middelburg et al. (1996),C,Kenya,282.7437094
Middelburg et al. (1996),I,Kenya,78.04841408
Middelburg et al. (1996),II,Kenya,105.9197987
Middelburg et al. (1996),III,Kenya,76.69453064
Middelburg et al. (1996),IV,Kenya,105.6568532
Middelburg et al. (1996),J,Kenya,237.594773
Middelburg et al. (1996),K,Kenya,342.1108687
Middelburg et al. (1996),L,Kenya,375.5678443
Middelburg et al. (1996),middleburge-A,Kenya,297.9763316
Middelburg et al. (1996),M-Middleburg,Kenya,273.7506173
Middelburg et al. (1996),R,Kenya,454.0845115
Middelburg et al. (1996),S,Kenya,103.6354046
Middelburg et al. (1996),V,Kenya,152.4412788
Middelburg et al. (1996),VI,Kenya,175.1304593
Middelburg et al. (1996),X,Kenya,272.399683
Murdiyarso et al. 2015,Sembilang 1,Indonesia,522.33
Murdiyarso et al. 2015,Cilacap 1,Indonesia,277.2
Murdiyarso et al. 2015,Kubu Raya 1,Indonesia,455.41
Murdiyarso et al. 2015,Tanjung Puting 1,Indonesia,308.62
Murdiyarso et al. 2015,Bunaken 1,Indonesia,664.52
Murdiyarso et al. 2015,Teminabuan 1,Indonesia,428.85
Murdiyarso et al. 2015,Bintuni 1,Indonesia,420.48
Murdiyarso et al. 2015,Timika 1,Indonesia,493.38
Muzuka And Shunula (2006),Kisak saka-A. marina,Tanzania,286.0612
Muzuka And Shunula (2006),Bagamoyo-B. gynm,Tanzania,235.7716
Muzuka And Shunula (2006),Muzuka-A. marina,Tanzania,217.6737
Nam et al. 2016,CGMBR,Vietnam,279.05
Nam et al. 2016,KVPF,Vietnam,313.1
Nobrega et al. (2013),CS-Dry,Brazil,282.755
Nobrega et al. (2013),SF-dry,Brazil,174.585
Nóbrega et al. 2016,Jaguaribe,Brazil,210.6
Nóbrega et al. 2016,Coco,Brazil,208.2
Nóbrega et al. 2016,Timonha river,Brazil,373.7
Ntyam (2014 thesis),Cameroon Avicennia,Cameroon,288.9897
Ntyam (2014 thesis),Ghana Avicennia,Ghana,245.3638
Okbah et al. (2005),I-III,Egypt,77.28
Okbah et al. (2005),IV-VII,Egypt,81.98
Ono et al. (2015),Ono-1,Fed. States of Micronesia,542.428014
Osland et al. 2012,Osl12,USA,256
Otero et al. (2014),Otero-1,Brazil,185.26
Oyo-Ita et al. (2013),SDT1,Nigeria,234.7363
Patil et al. (2014),Mahul 1,India,390.6271
Patil et al. (2014),Wadala 1,India,336.9385
Patil et al. (2014),Patil-B1,India,320.4634
Patil et al. (2014),Patil-VG1,India,310.5713
Patil et al. (2014),Patil-K1,India,257.3944
Patil et al. (2014),Patil-N1,India,237.7883
Patil et al. (2014),Patil-M1,India,219.9459
Patil et al. (2014),Patil-Mk1,India,207.2923
Pazi et al. (2016),Mustapha-Plot1,Malaysia,171.38
Perera & Amarasinghe 2016,Per16,Sri Lanka,836.1
Phang et al. (2015),Phang-1,Singapore,329.66
Pupin & Nahas (2013),Cardoso mangrove,Brazil,66.81
Rahman et al. (2015),VT-1,Bangladesh,109.1706
Ralison et al. (2008),Betsiboka 1,Madagascar,116.08
Rambok et al. (2010),WSSM,Malaysia,227.62
Rambok et al. (2010),AALL,Malaysia,197.58
Ramirez-Elias et al. (2014),Ram-14,Mexico,174.5268
Ranjan et al. 2010,Ranjan2010,India,155.13
Ranjan et al. (2011),Ranjan2011,India,155.8767
Ray et al. (2011),monsoon,India,151.4167
Ren et al. (2010),Sonn-10,China,232.125
Rivera-Monroy et al. (2004),B9-1996-natural,Venezuela,342.7677
Rivera-Monroy et al. (2004),B7-1996-natural,Venezuela,324.6224
Ruiz-Fernandez et al. (2011),Ruiz-Fernandez-a,Colombia,134.81
Sahu et al. 2016,sahu-16,India,181
Saintilan et al. (2013),Berowra Creek,Australia,285
Saintilan et al. (2013),Cararma Inlet,Australia,241
Saintilan et al. (2013),Currambene Creek,Australia,25.2
Saintilan et al. (2013),Koorangang,Australia,261
Saintilan et al. (2013),Marra Marra,Australia,343
Sakho et al. (2015),Sakho-Avicen,Senegal,138.915
Sanders et al. (2008),Sander1,Brazil,429.52
Sanders et al. (2010),Mforest,Brazil,448.7
Sanders et al. (2010b),C3A,Brazil,308.935
Sanders et al. (2016),Sanders-JW1,Australia,216.275
Sanders et al. unpublished data,Barwon-Sanders,Australia,273
Sanders et al. unpublished data,Darwin-sanders,Australia,489
Sanders et al. unpublished data,Hinchinbrook-Sanders,Australia,579
Sanders et al. unpublished data,Jacobs well-Sanders,Australia,306
Sanders et al. unpublished data,New Castle-Sanders,Australia,289
Sanders et al. unpublished data,Seventy-seven-saunders,Australia,282
Sebastian & Chacko (2006),S1,India,320.709901
Sebastian & Chacko (2006),S2,India,353.4722112
Sebastian & Chacko (2006),S3,India,214.9364939
Serrano et al. (unpublished data),Whyalla,Australia,300.2
Serrano et al. (unpublished data),Port Broughton1,Australia,220
Serrano et al. (unpublished data),Lake Macleod,Australia,155.9
Sharma et al. (2014),Sharma-Plot B1,Japan,118.43
Sharma et al. (2014),Sharma-PlotC1,Japan,99.46
Sharma et al. (2014),Sharma-Plot D1,Japan,112.83
Sharma et al. (2014),Sharma-Plot A1,Japan,118.8
Sitoe et al. (2014),Sitoe-1,Mozambique,160
Steyer 1988,ste-88-1,USA,403.3
Steyer 1988,ste-88-2,USA,429.9
Stringer et al. (2014),height class 1,Mozambique,151.6841
Tateda et al. (2005),viet38,Vietnam,146.36
Tateda et al. (2005),Sed 38,Japan,319.25
Tateda et al. (2005),Thai52,Thailand,97.54
Thompson et al. (2014),Bugtong-seaward,Philippines,198.3367
Thompson et al. (2014),Pedada-seaward,Philippines,93.89
Tue et al. (2014),Tue-fringe,Vietnam,167.8333
Twilley et al. (1997),"Guayas river estuary, Ecuador",Ecuador,301.2167
Twilley et al. 1986,twi-86,USA,527.5
"Ukpong 1995, 2000",ukp-95,Nigeria,550.18
Vasconcelos et al. 2015,vas-15,Guinea-Bissau,272.5
Vegas-Vilarrubia et al. (2010),Vegas 1,Venezuela,426.677236
Wang et al. 2013,wang-13,China,220.26
Wasserman et al. (2001),was-2,Brazil,260.86
Wasserman et al. (2001),was-1,Brazil,196.76
Weiss et al. (2016),Weiss-UM1,Indonesia,450.78
Weiss et al. (2016),Weiss-UE2,Indonesia,208.58
Weiss et al. (2016),Weiss-DE3,Indonesia,83.11
Woodroffe (1985),"Tuff Crater, New Zealand1",New Zealand,105.192296
Woodroffe (1985),"Tuff Crater, New Zealand2",New Zealand,136.524307
Woodroffe (1985),"Tuff Crater, New Zealand3",New Zealand,156.907191
Woodroffe (1985),"Tuff Crater, New Zealand4",New Zealand,166.106001
Woodroffe (1985),"Tuff Crater, New Zealand5",New Zealand,166.106001
Woodroffe (1985),"Tuff Crater, New Zealand6",New Zealand,166.106001
Woodroffe (1985),"Tuff Crater, New Zealand7",New Zealand,170.50736
Woodroffe (1985),"Tuff Crater, New Zealand8",New Zealand,198.441555
Woodroffe (1985),"Tuff Crater, New Zealand9",New Zealand,202.097372
Woodroffe (1985),"Tuff Crater, New Zealand10",New Zealand,209.204935
Woodroffe (1985),"Tuff Crater, New Zealand11",New Zealand,212.663797
Woodroffe (1985),"Tuff Crater, New Zealand12",New Zealand,212.663797
Woodroffe (1985),"Tuff Crater, New Zealand13",New Zealand,212.663797
Woodroffe (1985),"Tuff Crater, New Zealand14",New Zealand,216.063628
Woodroffe (1985),"Tuff Crater, New Zealand15",New Zealand,219.407292
Woodroffe (1985),"Tuff Crater, New Zealand16",New Zealand,225.936484
Woodroffe (1985),"Tuff Crater, New Zealand17",New Zealand,241.4393
Woodroffe (1985),"Tuff Crater, New Zealand18",New Zealand,287.613033
Woodroffe (1985),"Tuff Crater, New Zealand19",New Zealand,290.085941
Woodroffe (1985),"Tuff Crater, New Zealand20",New Zealand,329.122366
Wooller et al. (2003),d,Belize,669.2667
Wooller et al. (2003),e5,Belize,670.5667
Wooller et al. (2003),g12,Belize,673.3
Wooller et al. (2003),h13,Belize,675.3
Wooller et al. (2003),i12,Belize,700.8
Wooller et al. (2003),"Man of War Cay, Belize",Belize,695
Xin et al. 2014 ,Haikou1,China,249.35
Xin et al. 2014 ,Wenchang1,China,949.37
Xin et al. 2014 ,Sanya1,China,206.43
Xin et al. 2014 ,Dongfang,China,765.8
Xin et al. 2014 ,Danzhou,China,302
Yando et al. 2016,Cedar Key,USA,137
Yando et al. 2016,Port Fourchon,USA,243
Yando et al. 2016,Port Aransas,USA,290
Yang et a. (2013),Yang-101,New Zealand,290.304529
Yang et a. (2013),Yang-11,New Zealand,271.020103
Yang et a. (2013),Yang-116,New Zealand,242.325722
Yang et a. (2013),Yang-131,New Zealand,248.499869
Yang et a. (2013),Yang-146,New Zealand,268.637558
Yang et a. (2013),Yang-161,New Zealand,303.12241
Yang et a. (2013),Yang-175,New Zealand,238.642254
Yang et a. (2013),Yang-191,New Zealand,252.526947
Yang et a. (2013),Yang-206,New Zealand,248.818116
Yang et a. (2013),Yang-221,New Zealand,295.524817
Yang et a. (2013),Yang-236,New Zealand,245.111716
Yang et a. (2013),Yang-240,New Zealand,234.584329
Yang et a. (2013),Yang-248,New Zealand,233.943453
Yang et a. (2013),Yang-25,New Zealand,304.707083
Yang et a. (2013),Yang-252,New Zealand,240.629645
Yang et a. (2013),Yang-256,New Zealand,235.99979
Yang et a. (2013),Yang-260,New Zealand,215.999489
Yang et a. (2013),Yang-264,New Zealand,229.227876
Yang et a. (2013),Yang-268,New Zealand,199.523471
Yang et a. (2013),Yang-272,New Zealand,223.301547
Yang et a. (2013),Yang-276,New Zealand,212.364038
Yang et a. (2013),Yang-281,New Zealand,199.190044
Yang et a. (2013),Yang-284,New Zealand,223.356932
Yang et a. (2013),Yang-288,New Zealand,220.512281
Yang et a. (2013),Yang-292,New Zealand,207.119848
Yang et a. (2013),Yang-297,New Zealand,190.218459
Yang et a. (2013),Yang-300,New Zealand,188.541052
Yang et a. (2013),Yang-302,New Zealand,177.103557
Yang et a. (2013),Yang-306,New Zealand,183.383138
Yang et a. (2013),Yang-41,New Zealand,255.009566
Yang et a. (2013),Yang-56,New Zealand,250.711949
Yang et a. (2013),Yang-71,New Zealand,273.2674
Yang et a. (2013),Yang-85,New Zealand,233.547225
Yang et a. (2013),Core-Yang,New Zealand,116.1867
Liu et al. 2014,Dongzhai Hainan Island,China,209.88
Liu et al. 2014,Techeng Island ,China,145.2
Guan et al. 2018,Qinglan Bay,China,228.72
Guan et al. 2018,Chengmai,China,94.26
Guan et al. 2018,Dongchang-Caiqiao,China,200.8
Guan et al. 2018,Danzhou,China,198.84
Guan et al. 2018,Dongfang,China,198.98
Guan et al. 2018,Sanya,China,129.24
Guan et al. 2018,Dongzhai Bay,China,152.32
Thant et al. (2012),"Ayeyarwady Delta, Myanmar",Myanmar,163
Bukoski et al 2017,KB,Thailand,289.5853
Bukoski et al 2017,PP,Thailand,178.7674
Bukoski et al 2017,QN,Vietnam,153.7665
Bukoski et al 2017,HP,Vietnam,112.3981
Bukoski et al 2017,ND,Vietnam,129.6633
Bukoski et al 2017,KL,Vietnam,180.3853
Bukoski et al 2017,AB,Vietnam,147.49
Bukoski et al 2017,AM,Vietnam,147.487
Bukoski et al 2017,VR,Vietnam,225.4581
Gillis et al 2017,LGG17_A,Thailand,103.5288
Gevana and Pampolina 2009,GP09 Averaged,Philippines,128.6504303
Otero et al 2009,XLO09 Laguncularia,Brazil,297.7616
Lee and Baker 1972,BKHL72 Station I,USA,344.93
Frusher et al 1994,SDF94 ,Australia,138.2369
Dissanayake and Chandrasekara 2014,ND14,Sri Lanka,188.62
Zhang et al 2012,JPZ12 Sites 1-2,China,208.352
Naidoo and Raiman 1982,GN82 Sipingo ,South Africa,72.337
Owers et al 2016,CJO16 Tall Mangrove,Australia,269.1111
Penha-Lopes et al 2009,GPL09 Canopy,Mozambique,140.52
Smoak et al 2013,JMS13 SH4,USA,515.0760133
Szczygielski et al 2015,AS14 VC10,Brazil,259.6498143
Lang'at et al 2014,JKSL14 Control,Kenya,520.8
Kelleway et al 2016,JJK16,Australia,263.4085
Nsombo et al 2016,ENN16 ,Cameroon,480.0728
Gomes et al 2016,FHG16 ,Brazil,406.2511
Upkong 1997,IEU,Nigeria,564.8
Ceron-Breton et al 2011,JGCB11 ,Mexico,332.567
McFadden et al 2016,TNM16,Honduras,256.3405
Xia et al 2015,PX15 YLW,China,117.2459
Allen et al 2007,DEA07 Brisbane River,Australia,156.7672
Yuan et al 2014,HR14,China,278.9389
Gleason and Ewel 2002,SMG02 Average,Fed. States of Micronesia,513.5189859
Dutta et al 2013,MKD13 ULZ,India,168.6479
Banerjee et al 2012,KB12 Stn. 1,India,126.9378559
Banerjee et al 2012,KB12 Stn. 2,India,119.9646143
Banerjee et al 2012,KB12 Stn. 3,India,114.940436
Banerjee et al 2012,KB12 Stn. 4,India,140.5698284
Banerjee et al 2012,KB12 Stn. 5,India,139.9204768
Banerjee et al 2012,KB12 Stn. 6,India,126.6346931
Banerjee et al 2012,KB12 Stn. 7,India,123.9878764
Banerjee et al 2012,KB12 Stn. 8,India,96.04004244
Banerjee et al 2012,KB12 Stn. 9,India,83.54257082
Banerjee et al 2012,KB12 Stn. 10,India,118.9642463
Banerjee et al 2012,KB12 Stn. 11,India,85.22331934
Banerjee et al 2012,KB12 Stn. 12,India,110.124627
Banerjee et al 2012,KB12 Stn. 13,India,79.52832184
Banerjee et al 2012,KB12 Stn. 14,India,74.07374538
Abino et al 2014,ACA14 Average,Philippines,157.46
Mao et al 2012,LZM12 Futian ,China,380.1449
Xu et al 2012,FHX12 Zhanjiang ,China,456.7667
Liu et al 2008,MLL08 ,China,99.19
Tam and Wong 1998,NFYT98 ,China,264.7505
Vasconcelos et al 2014,AFD14 ,Brazil,272.5
Thimdee et al 2003,WT03 Mangrove Sediment,Thailand,194.8344891
Suarez-Abelenda et al. 2014,Non-WAM,Brazil,195.8333333
Suarez-Abelenda et al. 2014,WAM,Brazil,83.75
Bouillon and Boschker (2006),Pambala,Sri Lanka,453.2288
Gnanamorrthy et al 2019,Pichavaram,India,162.825
Schile et al 2017,Abu al Abyad,United Arab Emirates,173.009
Schile et al 2017,Al Khor,United Arab Emirates,107.9842678
Schile et al 2017,Al Rams,United Arab Emirates,175.162715
Schile et al 2017,Al Shalila,United Arab Emirates,121.7998427
Schile et al 2017,Al Zorah,United Arab Emirates,131.884386
Schile et al 2017,Bu Tinah ,United Arab Emirates,239.4533
Schile et al 2017,Eastern Mangrove,United Arab Emirates,179.1693512
Schile et al 2017,Jubail Is.,United Arab Emirates,131.8968
Schile et al 2017,Khalba,United Arab Emirates,203.7416
Schile et al 2017,Marawah Is.,United Arab Emirates,319.6176085
Schile et al 2017,Salaam,United Arab Emirates,110.366248
Schile et al 2017,Sinnia,United Arab Emirates,209.8962058
Schile et al 2017,Ras Al Kaimah,United Arab Emirates,174.8958887
Schile et al 2017,Umm Al Quwain,United Arab Emirates,172.0176802
