Study ID,Sample_ID,Country,Latitude,Longitude,LOI,OC,ecosystem
Callaway et al. (2012),Browns Island3,USA,38.2104,-122.0247,29.3,12.14,saltmarsh
Callaway et al. (2012),Petaluma River3,USA,38.1105,-122.4875,25.1,10.2,saltmarsh
Callaway et al. (2012),Coon Island1,USA,37.83,-122.4167,19.2,6.76,saltmarsh
Callaway et al. (2012),Coon Island2,USA,37.83,-122.4167,18.3,7.7,saltmarsh
Callaway et al. (2012),Rush  Ranch3,USA,38.2104,-122.0247,18,6.83,saltmarsh
Callaway et al. (2012),Petaluma River2,USA,38.1105,-122.4875,16.1,6.29,saltmarsh
Callaway et al. (2012),China Camp3,USA,38.001,-122.4617,15.9,6.61,saltmarsh
Callaway et al. (2012),Coon Island3,USA,37.83,-122.4167,13.5,4.38,saltmarsh
Callaway et al. (2012),Whale's Tail2,USA,37.7,-122,13.2,4.81,saltmarsh
Callaway et al. (2012),Whale's Tail3,USA,37.7,-122,12.8,4.66,saltmarsh
Callaway et al. (2012),China Camp2,USA,38.001,-122.4617,12.7,4.82,saltmarsh
Callaway et al. (2012),China Camp1,USA,38.001,-122.4617,11.7,4.33,saltmarsh
Callaway et al. (2012),Whale's Tail1,USA,37.7,-122,8.4,3.07,saltmarsh
Callaway et al. (2012),Petaluma River1,USA,38.1105,-122.4875,7.6,3.15,saltmarsh
Crooks et al. (2014),Heron Point ,USA,47.91288,-122.09818,40.68,19.74,saltmarsh
Crooks et al. (2014),Heron Point ,USA,47.91288,-122.09818,33.95,17.61,saltmarsh
Crooks et al. (2014),Heron Point ,USA,47.91288,-122.09818,31.08,15.38,saltmarsh
Crooks et al. (2014),Heron Point ,USA,47.91288,-122.09818,30.89,13.59,saltmarsh
Crooks et al. (2014),Heron Point ,USA,47.91288,-122.09818,25.14,10.9,saltmarsh
Crooks et al. (2014),Heron Point ,USA,47.91288,-122.09818,19.95,8.54,saltmarsh
Crooks et al. (2014),Heron Point ,USA,47.91288,-122.09818,17.64,7.06,saltmarsh
Crooks et al. (2014),Heron Point ,USA,47.91288,-122.09818,17.52,6.57,saltmarsh
Crooks et al. (2014),Heron Point ,USA,47.91288,-122.09818,10.88,4.2,saltmarsh
Crooks et al. (2014),Heron Point ,USA,47.91288,-122.09818,7.04,3.27,saltmarsh
Crooks et al. (2014),Heron Point ,USA,47.91288,-122.09818,6.54,2.31,saltmarsh
Crooks et al. (2014),Heron Point ,USA,47.91288,-122.09818,5.43,1.54,saltmarsh
Crooks et al. (2014),Heron Point ,USA,47.91288,-122.09818,4.1,1.08,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,17.14,7.49,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,15.69,6.79,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,14.34,5.8,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,11.99,4.96,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,10.46,4.32,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,9.53,3.66,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,9.21,3.01,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,7.6,2.68,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,6.57,1.96,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,6.37,1.98,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,6.26,1.84,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,5.73,1.56,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,5.68,1.76,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,5.62,1.55,saltmarsh
Crooks et al. (2014),Marysville ,USA,48.0518,-122.1771,5.49,1.42,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,12.43,5.68,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,12.34,4.78,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,12.27,4.98,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,12.21,5.8,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,11.99,4.85,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,11.63,4.53,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,11.52,4.33,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,11.33,3.93,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,11,4.27,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,10.91,4.56,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,10.5,4.45,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,10.44,4.51,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,10.26,3.48,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,9.64,3.52,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,9.42,4.15,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,8.71,3.72,saltmarsh
Crooks et al. (2014),North Ebey ,USA,47.608,-122.335,8.53,2.69,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,30.42,15.13,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,22.19,11.1,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,21.3,11.53,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,20.79,11.12,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,20,10.29,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,19.66,9.11,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,19.52,7.56,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,18.32,9.01,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,18.17,8.34,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,14.84,7.04,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,14.73,5.59,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,13.67,7.19,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,13.44,6.08,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,13.02,6.4,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,13.01,5.85,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,11.08,4.92,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,10.65,4.7,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,10.45,4.66,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,10.34,4.68,saltmarsh
Crooks et al. (2014),Otter Island ,USA,NA,NA,9.17,3.95,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,14.61,6.12,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,14.53,6.14,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,13.36,5.46,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,12.74,5.26,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,11.74,4.75,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,11.68,4.83,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,11.54,4.12,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,10.6,4.34,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,10.36,4.14,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,10.07,4.19,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,9.35,3.65,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,8.95,3.53,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,8.04,3.14,saltmarsh
Crooks et al. (2014),Quilceda Marsh ,USA,47.75,-120.74,6.9,2.42,saltmarsh
Crooks et al. (2014),Qwuloolt ,USA,47.9826,-122.1934,16.03,6.12,saltmarsh
Crooks et al. (2014),Qwuloolt ,USA,47.9826,-122.1934,15.17,6.16,saltmarsh
Crooks et al. (2014),Qwuloolt ,USA,47.9826,-122.1934,15.02,6.02,saltmarsh
Crooks et al. (2014),Qwuloolt ,USA,47.9826,-122.1934,14.55,5.75,saltmarsh
Crooks et al. (2014),Qwuloolt ,USA,47.9826,-122.1934,14.04,5.78,saltmarsh
Crooks et al. (2014),Qwuloolt ,USA,47.9826,-122.1934,12.83,4.77,saltmarsh
Crooks et al. (2014),Qwuloolt ,USA,47.9826,-122.1934,12.4,4.56,saltmarsh
Crooks et al. (2014),Qwuloolt ,USA,47.9826,-122.1934,12.09,4.38,saltmarsh
Crooks et al. (2014),Qwuloolt ,USA,47.9826,-122.1934,11.39,4.01,saltmarsh
Crooks et al. (2014),Qwuloolt ,USA,47.9826,-122.1934,11.33,4.97,saltmarsh
Crooks et al. (2014),Qwuloolt ,USA,47.9826,-122.1934,11.15,4.28,saltmarsh
Crooks et al. (2014),Qwuloolt ,USA,47.9826,-122.1934,10.93,4.06,saltmarsh
Crooks et al. (2014),Qwuloolt ,USA,47.9826,-122.1934,10.3,3.43,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,48.57,25.54,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,37.43,18.58,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,36.84,18.44,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,28.63,14.12,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,23.96,11.21,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,22.26,10.1,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,22.22,10.34,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,21.05,9.86,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,6.09,3.46,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,4.99,1.8,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,4.7,2.75,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,4.43,2.13,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,3.81,1.35,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,3.77,1.32,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,3.31,1.09,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,2.98,0.94,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,2.95,0.77,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,2.41,0.62,saltmarsh
Crooks et al. (2014),Smith Island - City ,USA,NA,NA,2.26,0.51,saltmarsh
Crooks et al. (2014),Smith Island - County ,USA,NA,NA,61.62,29.66,saltmarsh
Crooks et al. (2014),Smith Island - County ,USA,NA,NA,34.17,16.69,saltmarsh
Crooks et al. (2014),Smith Island - County ,USA,NA,NA,28.74,13.58,saltmarsh
Crooks et al. (2014),Smith Island - County ,USA,NA,NA,28.55,13.09,saltmarsh
Crooks et al. (2014),Smith Island - County ,USA,NA,NA,27.74,13.45,saltmarsh
Crooks et al. (2014),Smith Island - County ,USA,NA,NA,25.66,11.86,saltmarsh
Crooks et al. (2014),Smith Island - County ,USA,NA,NA,21.04,9.37,saltmarsh
Crooks et al. (2014),Smith Island - County ,USA,NA,NA,20.58,8.44,saltmarsh
Crooks et al. (2014),Smith Island - County ,USA,NA,NA,20.22,8.95,saltmarsh
Crooks et al. (2014),Smith Island - County ,USA,NA,NA,19.62,8.47,saltmarsh
Crooks et al. (2014),Smith Island - County ,USA,NA,NA,18.95,8.19,saltmarsh
Crooks et al. (2014),Smith Island - County ,USA,NA,NA,18.91,8.11,saltmarsh
Crooks et al. (2014),Spencer Island ,USA,47.993,-122.1644,16.67,6.97,saltmarsh
Crooks et al. (2014),Spencer Island ,USA,47.993,-122.1644,15.88,6.37,saltmarsh
Crooks et al. (2014),Spencer Island ,USA,47.993,-122.1644,15.22,5.67,saltmarsh
Crooks et al. (2014),Spencer Island ,USA,47.993,-122.1644,11.96,4.27,saltmarsh
Crooks et al. (2014),Spencer Island ,USA,47.993,-122.1644,10.41,3.53,saltmarsh
Crooks et al. (2014),Spencer Island ,USA,47.993,-122.1644,9.11,3.48,saltmarsh
Crooks et al. (2014),Spencer Island ,USA,47.993,-122.1644,8.71,3.02,saltmarsh
Crooks et al. (2014),Spencer Island ,USA,47.993,-122.1644,7.87,2.47,saltmarsh
Crooks et al. (2014),Spencer Island ,USA,47.993,-122.1644,7.73,2.57,saltmarsh
Crooks et al. (2014),Spencer Island ,USA,47.993,-122.1644,7.6,2.52,saltmarsh
Crooks et al. (2014),Spencer Island ,USA,47.993,-122.1644,7.34,2.31,saltmarsh
Crooks et al. (2014),Spencer Island ,USA,47.993,-122.1644,6.61,2.01,saltmarsh
Crooks et al. (2014),Spencer Island ,USA,47.993,-122.1644,5.74,1.32,saltmarsh
Crooks et al. (2014),Union Slough ,USA,48.0334,-122.1896,8.22,2.58,saltmarsh
Crooks et al. (2014),Union Slough ,USA,48.0334,-122.1896,7.91,2.52,saltmarsh
Crooks et al. (2014),Union Slough ,USA,48.0334,-122.1896,7.59,2.43,saltmarsh
Crooks et al. (2014),Union Slough ,USA,48.0334,-122.1896,7.41,1.9,saltmarsh
Crooks et al. (2014),Union Slough ,USA,48.0334,-122.1896,7.2,2.13,saltmarsh
Crooks et al. (2014),Union Slough ,USA,48.0334,-122.1896,6.94,2.02,saltmarsh
Crooks et al. (2014),Union Slough ,USA,48.0334,-122.1896,6.85,1.63,saltmarsh
Crooks et al. (2014),Union Slough ,USA,48.0334,-122.1896,6.72,2.37,saltmarsh
Crooks et al. (2014),Union Slough ,USA,48.0334,-122.1896,6.55,1.57,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,71.39,38.47,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,70.85,37.2,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,61.71,32.92,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,61.49,32.32,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,56.81,29.49,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,53.62,27.86,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,38.48,20.83,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,31.13,14.7,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,30.09,14.81,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,28.66,13.84,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,27.94,14.49,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,26.07,12.67,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,25.37,12.34,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,24.94,12.2,saltmarsh
Crooks et al. (2014),WDFW Forested,USA,NA,NA,21.6,10.3,saltmarsh
Crooks et al. (2014),WDFW Wetland,USA,NA,NA,48.8,23.6,saltmarsh
Crooks et al. (2014),WDFW Wetland,USA,NA,NA,44.8,21.91,saltmarsh
Crooks et al. (2014),WDFW Wetland,USA,NA,NA,44.04,21.39,saltmarsh
Crooks et al. (2014),WDFW Wetland,USA,NA,NA,39.21,19.66,saltmarsh
Crooks et al. (2014),WDFW Wetland,USA,NA,NA,38.81,18.32,saltmarsh
Crooks et al. (2014),WDFW Wetland,USA,NA,NA,34.78,17.86,saltmarsh
Crooks et al. (2014),WDFW Wetland,USA,NA,NA,34.48,17.02,saltmarsh
Crooks et al. (2014),WDFW Wetland,USA,NA,NA,33.55,15.85,saltmarsh
Crooks et al. (2014),WDFW Wetland,USA,NA,NA,31.53,15.45,saltmarsh
Crooks et al. (2014),WDFW Wetland,USA,NA,NA,31.12,15.31,saltmarsh
Crooks et al. (2014),WDFW Wetland,USA,NA,NA,30.07,15.15,saltmarsh
Crooks et al. (2014),WDFW Wetland,USA,NA,NA,28.18,13.45,saltmarsh
Crooks et al. (2014),WDFW Wetland,USA,NA,NA,21.99,9.99,saltmarsh
Piazza et al. (2011),CRMS0326-H ,USA,29.2616,-85.0948,26.72,11.62,saltmarsh
Piazza et al. (2011),CRMS0164-H,USA,29.2237,-84.1112,22.56,8.48,saltmarsh
Craft et al. (1991),north_carolina_1,USA,35.7596,-79.0193,1.1,0.21,saltmarsh
Craft et al. (1991),north_carolina_2,USA,35.7596,-79.0193,1,0.17,saltmarsh
Craft et al. (1991),north_carolina_3,USA,35.7596,-79.0193,48,24.92,saltmarsh
Craft et al. (1991),north_carolina_4,USA,35.7596,-79.0193,50.9,27.5,saltmarsh
Craft et al. (1991),north_carolina_5,USA,35.7596,-79.0193,2.4,1.4,saltmarsh
Craft et al. (1991),north_carolina_6,USA,35.7596,-79.0193,0.2,0.11,saltmarsh
Craft et al. (1991),north_carolina_7,USA,35.7596,-79.0193,5.5,2.46,saltmarsh
Craft et al. (1991),north_carolina_8,USA,35.7596,-79.0193,1.6,0.6,saltmarsh
Craft et al. (1991),north_carolina_9,USA,35.7596,-79.0193,1.2,0.29,saltmarsh
Craft et al. (1991),north_carolina_10,USA,35.7596,-79.0193,0.4,0.11,saltmarsh
Craft et al. (1991),north_carolina_11,USA,35.7596,-79.0193,1.2,0.36,saltmarsh
Craft et al. (1991),north_carolina_12,USA,35.7596,-79.0193,0.6,0.2,saltmarsh
Craft et al. (1991),north_carolina_13,USA,35.7596,-79.0193,3.9,1.42,saltmarsh
Craft et al. (1991),north_carolina_14,USA,35.7596,-79.0193,1.2,0.27,saltmarsh
Craft et al. (1991),north_carolina_15,USA,35.7596,-79.0193,19.3,7.41,saltmarsh
Craft et al. (1991),north_carolina_16,USA,35.7596,-79.0193,23.5,10.6,saltmarsh
Craft et al. (1991),north_carolina_17,USA,35.7596,-79.0193,5,2.22,saltmarsh
Craft et al. (1991),north_carolina_18,USA,35.7596,-79.0193,3.8,1.89,saltmarsh
Craft et al. (1991),north_carolina_19,USA,35.7596,-79.0193,44,22.79,saltmarsh
DelVecchia et al. (2014),esmeraldas_1,Ecuador,0.6,-80.01,39.5,27.2,mangrove
DelVecchia et al. (2014),esmeraldas_2,Ecuador,0.6,-80.01,32.2,22.7,mangrove
DelVecchia et al. (2014),esmeraldas_3,Ecuador,0.6,-80.01,32.6,21.3,mangrove
DelVecchia et al. (2014),esmeraldas_4,Ecuador,0.6,-80.01,33.6,19.6,mangrove
DelVecchia et al. (2014),esmeraldas_5,Ecuador,0.6,-80.01,29.3,20.1,mangrove
DelVecchia et al. (2014),esmeraldas_6,Ecuador,0.6,-80.01,24.5,19.9,mangrove
DelVecchia et al. (2014),esmeraldas_7,Ecuador,0.6,-80.01,22.1,18.9,mangrove
DelVecchia et al. (2014),esmeraldas_8,Ecuador,0.6,-80.01,35.9,16.9,mangrove
DelVecchia et al. (2014),esmeraldas_9,Ecuador,0.6,-80.01,25.2,17.6,mangrove
DelVecchia et al. (2014),esmeraldas_10,Ecuador,0.6,-80.01,27.1,16.6,mangrove
DelVecchia et al. (2014),esmeraldas_11,Ecuador,0.6,-80.01,22.6,16.9,mangrove
DelVecchia et al. (2014),esmeraldas_12,Ecuador,0.6,-80.01,31.4,15.7,mangrove
DelVecchia et al. (2014),esmeraldas_13,Ecuador,0.6,-80.01,23,14.6,mangrove
DelVecchia et al. (2014),esmeraldas_14,Ecuador,0.6,-80.01,17.9,14.9,mangrove
DelVecchia et al. (2014),esmeraldas_15,Ecuador,0.6,-80.01,19.4,13.1,mangrove
DelVecchia et al. (2014),esmeraldas_16,Ecuador,0.6,-80.01,20.5,12.4,mangrove
DelVecchia et al. (2014),esmeraldas_17,Ecuador,0.6,-80.01,19.2,10.9,mangrove
DelVecchia et al. (2014),esmeraldas_18,Ecuador,0.6,-80.01,17.9,11.2,mangrove
DelVecchia et al. (2014),esmeraldas_19,Ecuador,0.6,-80.01,19.2,10.9,mangrove
DelVecchia et al. (2014),esmeraldas_20,Ecuador,0.6,-80.01,18.7,10.1,mangrove
DelVecchia et al. (2014),esmeraldas_21,Ecuador,0.6,-80.01,15.6,10.1,mangrove
DelVecchia et al. (2014),esmeraldas_22,Ecuador,0.6,-80.01,14.2,9.9,mangrove
DelVecchia et al. (2014),esmeraldas_23,Ecuador,0.6,-80.01,17.7,9.4,mangrove
DelVecchia et al. (2014),esmeraldas_24,Ecuador,0.6,-80.01,14.5,8.7,mangrove
DelVecchia et al. (2014),esmeraldas_25,Ecuador,0.6,-80.01,12.9,8.6,mangrove
DelVecchia et al. (2014),esmeraldas_26,Ecuador,0.6,-80.01,13.8,7.8,mangrove
DelVecchia et al. (2014),esmeraldas_27,Ecuador,0.6,-80.01,14.2,7.5,mangrove
DelVecchia et al. (2014),esmeraldas_28,Ecuador,0.6,-80.01,11.7,7.4,mangrove
DelVecchia et al. (2014),esmeraldas_29,Ecuador,0.6,-80.01,17,6.5,mangrove
DelVecchia et al. (2014),esmeraldas_30,Ecuador,0.6,-80.01,12,6.2,mangrove
DelVecchia et al. (2014),esmeraldas_31,Ecuador,0.6,-80.01,10.7,6.1,mangrove
DelVecchia et al. (2014),esmeraldas_32,Ecuador,0.6,-80.01,11.4,5.3,mangrove
DelVecchia et al. (2014),esmeraldas_33,Ecuador,0.6,-80.01,10.1,5.2,mangrove
DelVecchia et al. (2014),esmeraldas_34,Ecuador,0.6,-80.01,3.4,0.6,mangrove
DelVecchia et al. (2014),esmeraldas_35,Ecuador,0.6,-80.01,4.8,1.5,mangrove
Tue et al. (2014),tue_1,Vietnam,8.5833,104.8333,17.1,5,mangrove
Tue et al. (2014),tue_2,Vietnam,8.5833,104.8333,12.7,5.6,mangrove
Tue et al. (2014),tue_3,Vietnam,8.5833,104.8333,13.7,5.1,mangrove
Tue et al. (2014),tue_4,Vietnam,8.5833,104.8333,14.1,4.9,mangrove
Tue et al. (2014),tue_5,Vietnam,8.5833,104.8333,13.3,4.7,mangrove
Tue et al. (2014),tue_6,Vietnam,8.5833,104.8333,12.4,4.5,mangrove
Tue et al. (2014),tue_7,Vietnam,8.5833,104.8333,13.1,4.5,mangrove
Tue et al. (2014),tue_8,Vietnam,8.5833,104.8333,14.1,4.1,mangrove
Tue et al. (2014),tue_9,Vietnam,8.5833,104.8333,13.6,4,mangrove
Tue et al. (2014),tue_10,Vietnam,8.5833,104.8333,14.8,3.3,mangrove
Tue et al. (2014),tue_11,Vietnam,8.5833,104.8333,12.5,4,mangrove
Tue et al. (2014),tue_12,Vietnam,8.5833,104.8333,12.6,3.6,mangrove
Tue et al. (2014),tue_13,Vietnam,8.5833,104.8333,11.6,3.7,mangrove
Tue et al. (2014),tue_14,Vietnam,8.5833,104.8333,10.7,3.7,mangrove
Tue et al. (2014),tue_15,Vietnam,8.5833,104.8333,11.4,3.5,mangrove
Tue et al. (2014),tue_16,Vietnam,8.5833,104.8333,11.2,3.4,mangrove
Tue et al. (2014),tue_17,Vietnam,8.5833,104.8333,11.7,3.3,mangrove
Tue et al. (2014),tue_18,Vietnam,8.5833,104.8333,11.4,3.1,mangrove
Tue et al. (2014),tue_19,Vietnam,8.5833,104.8333,10.3,3.2,mangrove
Tue et al. (2014),tue_20,Vietnam,8.5833,104.8333,8.5,3.5,mangrove
Tue et al. (2014),tue_21,Vietnam,8.5833,104.8333,8.7,3.1,mangrove
Tue et al. (2014),tue_22,Vietnam,8.5833,104.8333,8.3,3,mangrove
Tue et al. (2014),tue_23,Vietnam,8.5833,104.8333,8.5,2.9,mangrove
Tue et al. (2014),tue_24,Vietnam,8.5833,104.8333,7.8,2.9,mangrove
Tue et al. (2014),tue_25,Vietnam,8.5833,104.8333,9.3,2.8,mangrove
Tue et al. (2014),tue_26,Vietnam,8.5833,104.8333,8.7,2.7,mangrove
Tue et al. (2014),tue_27,Vietnam,8.5833,104.8333,8.3,2.7,mangrove
Tue et al. (2014),tue_28,Vietnam,8.5833,104.8333,7.6,2.5,mangrove
Tue et al. (2014),tue_29,Vietnam,8.5833,104.8333,8.5,2.4,mangrove
Tue et al. (2014),tue_30,Vietnam,8.5833,104.8333,7.9,2.6,mangrove
Tue et al. (2014),tue_31,Vietnam,8.5833,104.8333,6.7,2.7,mangrove
Tue et al. (2014),tue_32,Vietnam,8.5833,104.8333,6,2.1,mangrove
Tue et al. (2014),tue_33,Vietnam,8.5833,104.8333,6,2.3,mangrove
Tue et al. (2014),tue_34,Vietnam,8.5833,104.8333,6.2,1.9,mangrove
Tue et al. (2014),tue_35,Vietnam,8.5833,104.8333,5.2,2,mangrove
Tue et al. (2014),tue_36,Vietnam,8.5833,104.8333,4.2,1.8,mangrove
Tue et al. (2014),tue_37,Vietnam,8.5833,104.8333,5.8,0.9,mangrove
Tue et al. (2014),tue_38,Vietnam,8.5833,104.8333,5.2,0.9,mangrove
Tue et al. (2014),tue_39,Vietnam,8.5833,104.8333,4.5,0.8,mangrove
Tue et al. (2014),tue_40,Vietnam,8.5833,104.8333,3.8,0.9,mangrove
Tue et al. (2014),tue_41,Vietnam,8.5833,104.8333,3.6,0.8,mangrove
Tue et al. (2014),tue_42,Vietnam,8.5833,104.8333,2.8,1.2,mangrove
Tue et al. (2014),tue_43,Vietnam,8.5833,104.8333,4.6,1,mangrove
Tue et al. (2014),tue_44,Vietnam,8.5833,104.8333,4.2,1.1,mangrove
Tue et al. (2014),tue_45,Vietnam,8.5833,104.8333,3.5,1.2,mangrove
Tue et al. (2014),tue_46,Vietnam,8.5833,104.8333,3.8,1.4,mangrove
Tue et al. (2014),tue_47,Vietnam,8.5833,104.8333,3.8,1.5,mangrove
Morris and Whiting (1986),morris_1,USA,33.3281,-79.1668,13.6,3.6,saltmarsh
Morris and Whiting (1986),morris_2,USA,33.3281,-79.1668,12.6,4,saltmarsh
Morris and Whiting (1986),morris_3,USA,33.3281,-79.1668,12.6,3.5,saltmarsh
Morris and Whiting (1986),morris_4,USA,33.3281,-79.1668,9.2,2.2,saltmarsh
Morris and Whiting (1986),morris_5,USA,33.3281,-79.1668,9.2,2.1,saltmarsh
Morris and Whiting (1986),morris_6,USA,33.3281,-79.1668,7.7,3.9,saltmarsh
Morris and Whiting (1986),morris_7,USA,33.3281,-79.1668,7.7,2.9,saltmarsh
Morris and Whiting (1986),morris_8,USA,33.3281,-79.1668,7.6,2.7,saltmarsh
Morris and Whiting (1986),morris_9,USA,33.3281,-79.1668,5.2,2.2,saltmarsh
Morris and Whiting (1986),morris_10,USA,33.3281,-79.1668,5.2,2,saltmarsh
Morris and Whiting (1986),morris_11,USA,33.3281,-79.1668,5.3,1.8,saltmarsh
Morris and Whiting (1986),morris_12,USA,33.3281,-79.1668,5.3,1.7,saltmarsh
Morris and Whiting (1986),morris_13,USA,33.3281,-79.1668,5.7,1.9,saltmarsh
Morris and Whiting (1986),morris_14,USA,33.3281,-79.1668,5.9,1.8,saltmarsh
Morris and Whiting (1986),morris_15,USA,33.3281,-79.1668,5.9,1.7,saltmarsh
