"","study_id","site_id","core_id","depth_min","depth_max","dry_bulk_density","fraction_carbon","fraction_nitrogen"
"343","Trettin_et_al_2017","1361","1361_1",190,195,0.798,0.0154,0.0057
"344","Trettin_et_al_2017","1361","1361_2",5,10,0.685,0.0206,0.0015
"345","Trettin_et_al_2017","1361","1361_2",20,25,0.557,0.0305,0.002
"346","Trettin_et_al_2017","1361","1361_2",35,40,0.514,0.0264,0.0017
"347","Trettin_et_al_2017","1361","1361_2",70,75,0.557,0.022,0.0014
"348","Trettin_et_al_2017","1361","1361_3",5,10,0.728,0.0192,0.0115
"349","Trettin_et_al_2017","1361","1361_3",20,25,0.721,0.0172,0.0012
"350","Trettin_et_al_2017","1361","1361_3",35,40,0.681,0.0154,0.0149
"351","Trettin_et_al_2017","1361","1361_3",70,75,0.673,0.024,0.0013
"352","Trettin_et_al_2017","1361","1361_3",151,156,0.751,0.0187,0.0011
"353","Trettin_et_al_2017","1361","1361_4",20,25,0.94,0.0077,5e-04
"354","Trettin_et_al_2017","1361","1361_4",35,40,1.074,0.0064,5e-04
"355","Trettin_et_al_2017","1361","1361_4",77,82,1.134,0.0105,6e-04
"356","Trettin_et_al_2017","1361","1361_4",145,150,0.774,0.0112,8e-04
"357","Trettin_et_al_2017","1361","1361_4",190,195,0.928,0.0072,5e-04
"358","Trettin_et_al_2017","1361","1361_5",5,10,1.136,0.0222,0.0319
"359","Trettin_et_al_2017","1361","1361_5",20,25,0.998,0.0134,9e-04
"360","Trettin_et_al_2017","1361","1361_5",35,40,1.022,0.0176,0.0277
"361","Trettin_et_al_2017","1361","1361_5",70,75,0.776,0.0313,0.0014
"362","Trettin_et_al_2017","1361","1361_5",145,150,0.844,0.0183,0.0012
"363","Trettin_et_al_2017","1361","1361_5",190,195,0.991,0.0164,0.0201
"364","Trettin_et_al_2017","1382","1382_1",5,10,0.599,0.0254,0.0017
"365","Trettin_et_al_2017","1382","1382_1",20,25,0.666,0.0131,0.0011
"366","Trettin_et_al_2017","1382","1382_1",20,25,0.779,0.0217,0.0014
"367","Trettin_et_al_2017","1382","1382_1",35,40,0.619,0.0204,0.0014
"368","Trettin_et_al_2017","1382","1382_1",70,75,0.745,0.014,0.0011
"369","Trettin_et_al_2017","1382","1382_1",145,150,0.642,0.0172,0.0013
"370","Trettin_et_al_2017","1382","1382_2",5,10,0.628,0.0147,0.0013
"371","Trettin_et_al_2017","1382","1382_2",20,25,0.779,0.0141,0.001
"372","Trettin_et_al_2017","1382","1382_2",35,40,0.713,0.0175,0.0013
"373","Trettin_et_al_2017","1382","1382_2",62,67,0.669,0.0181,0.0011
"374","Trettin_et_al_2017","1382","1382_2",145,150,0.743,0.0149,0.0011
"375","Trettin_et_al_2017","1382","1382_2",190,195,0.638,0.0135,0.0011
"376","Trettin_et_al_2017","1382","1382_3",5,10,0.603,0.0238,0.0018
"377","Trettin_et_al_2017","1382","1382_3",20,25,0.6,0.0208,0.0017
"378","Trettin_et_al_2017","1382","1382_3",35,40,0.437,0.0551,0.0018
"379","Trettin_et_al_2017","1382","1382_3",60,65,0.524,0.0371,0.0017
"380","Trettin_et_al_2017","1382","1382_4",2,10,0.7,0.0188,0.0012
"381","Trettin_et_al_2017","1382","1382_4",20,25,0.635,0.0169,0.0012
"382","Trettin_et_al_2017","1382","1382_4",35,40,0.571,0.022,0.0013
"383","Trettin_et_al_2017","1382","1382_4",70,75,0.761,0.0191,0.0013
"384","Trettin_et_al_2017","1382","1382_4",145,150,0.786,0.0161,0.0011
"385","Trettin_et_al_2017","1382","1382_4",160,165,0.599,0.0178,0.0012
"386","Trettin_et_al_2017","1382","1382_5",5,10,0.643,0.0276,0.0017
"387","Trettin_et_al_2017","1382","1382_5",24,29,0.651,0.0182,0.0016
"388","Trettin_et_al_2017","1382","1382_5",35,40,0.655,0.0214,0.0015
"389","Trettin_et_al_2017","1382","1382_5",70,75,0.732,0.0158,0.0012
"390","Trettin_et_al_2017","1382","1382_5",145,150,0.813,0.016,0.0012
"391","Trettin_et_al_2017","1382","1382_5",190,195,0.643,0.0163,0.0013
"392","Trettin_et_al_2017","15","15_1",5,10,0.873,0.0199,0.0012
"393","Trettin_et_al_2017","15","15_1",20,25,0.962,0.0137,8e-04
"394","Trettin_et_al_2017","15","15_1",35,40,0.749,0.0219,9e-04
"395","Trettin_et_al_2017","15","15_1",70,75,0.699,0.0159,9e-04
"396","Trettin_et_al_2017","15","15_1",145,150,0.708,0.0193,6e-04
"397","Trettin_et_al_2017","15","15_1",170,175,0.848,0.0177,0.0012
"398","Trettin_et_al_2017","15","15_2",5,10,1.004,0.019,0.0014
"399","Trettin_et_al_2017","15","15_2",20,25,1.021,0.0122,9e-04
"400","Trettin_et_al_2017","15","15_2",35,40,0.975,0.0092,9e-04
"401","Trettin_et_al_2017","15","15_2",70,75,0.885,0.019,3e-04
"402","Trettin_et_al_2017","15","15_2",145,150,0.869,0.0178,0.0011
"403","Trettin_et_al_2017","15","15_6",20,25,1.16,0.0055,4e-04
"404","Trettin_et_al_2017","15","15_6",35,40,1.455,0.0059,5e-04
"405","Trettin_et_al_2017","15","15_6",70,75,1.228,0.006,NA
"406","Trettin_et_al_2017","15","15_6",115,120,1.317,0.0041,3e-04
"407","Trettin_et_al_2017","16","16_1",5,10,0.862,0.0175,6e-04
"408","Trettin_et_al_2017","16","16_1",20,25,0.681,0.0235,9e-04
"409","Trettin_et_al_2017","16","16_1",35,40,0.822,0.0158,0.0011
"410","Trettin_et_al_2017","16","16_1",70,75,0.639,0.0223,0.001
"411","Trettin_et_al_2017","16","16_1",145,150,0.77,0.0208,9e-04
"412","Trettin_et_al_2017","16","16_1",165,170,1.122,0.0086,6e-04
"413","Trettin_et_al_2017","16","16_2",5,10,0.624,0.0232,9e-04
"414","Trettin_et_al_2017","16","16_2",23,28,0.663,0.0177,0.0014
"415","Trettin_et_al_2017","16","16_2",35,40,0.725,0.018,0.0013
"416","Trettin_et_al_2017","16","16_3",5,10,0.687,0.027,0.0018
"417","Trettin_et_al_2017","16","16_3",20,25,0.655,0.023,0.0013
"418","Trettin_et_al_2017","16","16_3",35,40,0.573,0.0334,0.0017
"419","Trettin_et_al_2017","16","16_3",70,75,0.698,0.0252,0.001
"420","Trettin_et_al_2017","16","16_3",145,150,0.72,0.0228,6e-04
"421","Trettin_et_al_2017","16","16_3",169,174,1.019,0.0122,8e-04
"422","Trettin_et_al_2017","16","16_4",5,10,0.72,0.0268,0.0018
"423","Trettin_et_al_2017","16","16_4",20,25,0.798,0.018,0.0015
"424","Trettin_et_al_2017","16","16_4",35,40,0.668,0.0292,0.0013
"425","Trettin_et_al_2017","16","16_4",70,75,0.75,0.0228,0.0015
"426","Trettin_et_al_2017","16","16_4",129,134,0.532,0.0256,0.0016
"427","Trettin_et_al_2017","16","16_4",161,166,0.763,0.0219,0.0016
"428","Trettin_et_al_2017","16","16_5",5,10,0.867,0.0151,6e-04
"429","Trettin_et_al_2017","16","16_5",20,25,0.806,0.0222,0.0011
"430","Trettin_et_al_2017","16","16_5",35,40,0.928,0.0128,0.001
"431","Trettin_et_al_2017","16","16_5",135,140,1.249,0.0183,9e-04
"432","Trettin_et_al_2017","16","16_5",190,195,0.733,0.0075,4e-04
"433","Trettin_et_al_2017","16","16_6",5,10,0.842,0.0196,0.0016
"434","Trettin_et_al_2017","16","16_6",19,24,1.041,0.0161,0.0012
"435","Trettin_et_al_2017","16","16_6",35,40,0.802,0.0124,0.001
"436","Trettin_et_al_2017","16","16_6",70,75,0.718,0.0136,0.0011
"437","Trettin_et_al_2017","16","16_6",140,145,0.805,0.0252,7e-04
"438","Trettin_et_al_2017","17","17_1",5,10,0.818,0.0182,0.0014
"439","Trettin_et_al_2017","17","17_1",20,25,0.836,0.0142,0.0012
"440","Trettin_et_al_2017","17","17_1",35,40,0.766,0.0236,0.0013
"441","Trettin_et_al_2017","17","17_1",145,150,0.969,0.0144,0
"442","Trettin_et_al_2017","17","17_1",190,195,1.038,0.0106,6e-04
"443","Trettin_et_al_2017","17","17_2",5,10,0.952,0.0134,0.001
"444","Trettin_et_al_2017","17","17_2",20,25,0.912,0.0238,0
"445","Trettin_et_al_2017","17","17_2",35,40,0.813,0.0157,0.001
"446","Trettin_et_al_2017","17","17_3",10,15,0.664,0.0396,0.0013
"447","Trettin_et_al_2017","17","17_3",20,25,0.785,0.0194,9e-04
"448","Trettin_et_al_2017","17","17_3",35,40,0.794,0.0204,3e-04
"449","Trettin_et_al_2017","17","17_3",70,75,0.638,0.0194,0.001
"450","Trettin_et_al_2017","17","17_3",145,150,0.822,0.0135,7e-04
"451","Trettin_et_al_2017","17","17_3",190,195,1.033,0.0186,8e-04
"452","Trettin_et_al_2017","17","17_4",5,10,0.543,0.0243,0.0019
"453","Trettin_et_al_2017","17","17_4",20,25,0.591,0.0414,0.0015
"454","Trettin_et_al_2017","17","17_4",35,40,0.487,0.0481,0.0019
"455","Trettin_et_al_2017","17","17_4",80,85,0.587,0.0329,0.0014
"456","Trettin_et_al_2017","17","17_4",145,150,0.738,0.0157,0.001
"457","Trettin_et_al_2017","17","17_4",185,190,0.822,0.0177,9e-04
"458","Trettin_et_al_2017","17","17_5",12,17,0.549,0.0243,0.0019
"459","Trettin_et_al_2017","17","17_5",20,25,0.618,0.0199,7e-04
"460","Trettin_et_al_2017","17","17_5",35,40,0.685,0.0192,0.0012
"461","Trettin_et_al_2017","17","17_5",70,75,0.595,0.0191,0.001
"462","Trettin_et_al_2017","17","17_5",145,150,0.694,0.0199,0.0011
"463","Trettin_et_al_2017","17","17_6",6,11,0.591,0.0226,0.0018
"464","Trettin_et_al_2017","17","17_6",20,25,0.678,0.0174,0.0014
"465","Trettin_et_al_2017","17","17_6",35,40,0.56,0.0182,0.0014
"466","Trettin_et_al_2017","17","17_6",70,75,0.658,0.0263,7e-04
"467","Trettin_et_al_2017","25","25_2",5,10,1.088,0.0386,0.0018
"468","Trettin_et_al_2017","25","25_2",20,25,0.875,0.0135,9e-04
"469","Trettin_et_al_2017","25","25_2",35,40,0.926,0.0093,0
"470","Trettin_et_al_2017","25","25_2",70,75,0.805,0.0132,8e-04
"471","Trettin_et_al_2017","25","25_2",145,150,0.841,0.0144,0.001
"472","Trettin_et_al_2017","25","25_2",190,195,0.89,0.0136,9e-04
"473","Trettin_et_al_2017","25","25_3",5,10,0.814,0.0157,0.0013
"474","Trettin_et_al_2017","25","25_3",20,25,0.752,0.0146,9e-04
"475","Trettin_et_al_2017","25","25_3",35,40,0.76,0.016,0.0011
"476","Trettin_et_al_2017","25","25_3",70,75,0.671,0.0121,7e-04
"477","Trettin_et_al_2017","25","25_3",145,150,0.916,0.0128,7e-04
"478","Trettin_et_al_2017","25","25_3",190,195,0.998,0.0123,1e-04
"479","Trettin_et_al_2017","25","25_4",5,10,0.932,0.011,9e-04
"480","Trettin_et_al_2017","25","25_4",20,25,0.792,0.0102,9e-04
"481","Trettin_et_al_2017","25","25_4",35,40,0.836,0.0091,9e-04
"482","Trettin_et_al_2017","25","25_4",70,75,0.964,0.0112,NA
"483","Trettin_et_al_2017","25","25_4",145,150,0.942,0.0138,0.001
"484","Trettin_et_al_2017","25","25_5",5,10,0.812,0.0215,0.0013
"485","Trettin_et_al_2017","25","25_5",20,25,0.835,0.025,0.0065
"486","Trettin_et_al_2017","25","25_5",35,40,0.937,0.0113,8e-04
"487","Trettin_et_al_2017","25","25_5",70,75,0.772,0.0197,9e-04
"488","Trettin_et_al_2017","25","25_5",145,150,0.861,0.0129,9e-04
"489","Trettin_et_al_2017","25","25_5",185,190,0.878,0.015,0.0011
"490","Trettin_et_al_2017","25","25_6",5,10,0.713,0.0196,0.0018
"491","Trettin_et_al_2017","25","25_6",20,25,0.571,0.0208,0.0017
"492","Trettin_et_al_2017","25","25_6",45,50,0.558,0.0338,0.002
"493","Trettin_et_al_2017","25","25_6",70,75,0.518,0.0362,0.0018
"494","Trettin_et_al_2017","25","25_6",145,150,0.826,0.0226,0.0015
"495","Trettin_et_al_2017","25","25_6",185,190,0.829,0.0198,0.0014
"496","Trettin_et_al_2017","26","26_1",5,10,0.548,0.0309,0.0022
"497","Trettin_et_al_2017","26","26_1",20,25,0.599,0.026,0.0013
"498","Trettin_et_al_2017","26","26_1",70,75,0.612,0.0244,6e-04
"499","Trettin_et_al_2017","26","26_2",5,10,0.563,0.0248,0.0018
"500","Trettin_et_al_2017","26","26_2",20,25,0.565,0.0653,0.0017
"501","Trettin_et_al_2017","26","26_2",35,40,0.572,0.0243,4e-04
"502","Trettin_et_al_2017","26","26_2",58,63,0.534,0.0404,0.0014
"503","Trettin_et_al_2017","26","26_2",145,150,0.592,0.0217,0.0013
"504","Trettin_et_al_2017","26","26_2",185,190,0.59,0.0287,8e-04
"505","Trettin_et_al_2017","26","26_3",5,10,0.56,0.034,0.0019
"506","Trettin_et_al_2017","26","26_3",35,40,0.59,0.0348,0.0016
"507","Trettin_et_al_2017","26","26_3",70,75,0.718,0.0213,6e-04
"508","Trettin_et_al_2017","26","26_3",145,150,0.663,0.019,6e-04
"509","Trettin_et_al_2017","26","26_3",190,195,0.875,0.0107,8e-04
"510","Trettin_et_al_2017","26","26_4",5,10,0.592,0.0241,0.001
"511","Trettin_et_al_2017","26","26_4",20,25,0.549,0.0228,0.0015
"512","Trettin_et_al_2017","26","26_4",35,40,0.567,0.0309,8e-04
"513","Trettin_et_al_2017","26","26_4",70,75,0.601,0.0217,0.0013
"514","Trettin_et_al_2017","26","26_5",5,10,0.589,0.0244,0.0016
"515","Trettin_et_al_2017","26","26_5",20,25,0.567,0.0234,9e-04
"516","Trettin_et_al_2017","26","26_5",35,40,0.587,0.037,0.0016
"517","Trettin_et_al_2017","26","26_6",5,10,0.639,0.0204,0.0014
"518","Trettin_et_al_2017","26","26_6",20,25,0.618,0.0203,4e-04
"519","Trettin_et_al_2017","26","26_6",35,40,0.547,0.0419,0.0017
"520","Trettin_et_al_2017","26","26_6",70,75,0.625,0.022,0.0014
"521","Trettin_et_al_2017","26","26_6",145,150,1.157,0.0268,0.008
"522","Trettin_et_al_2017","27","27_1",11,16,0.611,0.0235,0.0016
"523","Trettin_et_al_2017","27","27_1",21,26,0.628,0.023,0.0011
"524","Trettin_et_al_2017","27","27_1",35,40,0.635,0.0147,0.001
"525","Trettin_et_al_2017","27","27_1",70,75,0.702,0.0158,0.001
"526","Trettin_et_al_2017","27","27_1",145,150,0.714,0.0153,3e-04
"527","Trettin_et_al_2017","27","27_1",190,195,1.294,0.0029,2e-04
"528","Trettin_et_al_2017","27","27_2",5,10,0.699,0.0196,0.0018
"529","Trettin_et_al_2017","27","27_2",20,25,0.638,0.0157,0.0013
"530","Trettin_et_al_2017","27","27_2",35,40,0.73,0.0146,0.0012
"531","Trettin_et_al_2017","27","27_2",70,75,0.752,0.018,3e-04
"532","Trettin_et_al_2017","27","27_2",145,150,1.244,0.0075,5e-04
"533","Trettin_et_al_2017","27","27_2",175,180,1.352,0.0041,4e-04
"534","Trettin_et_al_2017","27","27_3",5,10,0.64,0.0155,0.0012
"535","Trettin_et_al_2017","27","27_3",20,25,0.69,0.0132,9e-04
"536","Trettin_et_al_2017","27","27_3",35,40,0.714,0.0113,9e-04
"537","Trettin_et_al_2017","27","27_3",70,75,0.703,0.022,6e-04
"538","Trettin_et_al_2017","27","27_5",5,10,0.888,0.0061,5e-04
"539","Trettin_et_al_2017","27","27_5",20,25,0.844,0.0306,0.0012
"540","Trettin_et_al_2017","27","27_5",35,40,0.836,0.0163,0.001
"541","Trettin_et_al_2017","27","27_5",70,75,1.324,0.0051,3e-04
"542","Trettin_et_al_2017","27","27_6",5,10,0.489,0.0326,0.0025
"543","Trettin_et_al_2017","27","27_6",20,25,0.518,0.0088,NA
"544","Trettin_et_al_2017","27","27_6",35,40,0.657,0.0265,0.0018
"545","Trettin_et_al_2017","27","27_6",70,75,0.58,0.0361,0.0018
"546","Trettin_et_al_2017","27","27_6",145,150,0.576,0.0201,0.0016
"547","Trettin_et_al_2017","27","27_6",190,195,1.12,0.0066,6e-04
"548","Trettin_et_al_2017","29","29_1",5,10,0.536,0.0499,0.0032
"549","Trettin_et_al_2017","29","29_1",20,25,0.719,0.0156,0.001
"550","Trettin_et_al_2017","29","29_1",35,40,0.665,0.0161,0.001
"551","Trettin_et_al_2017","29","29_1",70,75,0.801,0.0147,9e-04
"552","Trettin_et_al_2017","29","29_1",145,150,0.717,0.0153,4e-04
"553","Trettin_et_al_2017","29","29_1",185,190,0.758,0.0163,0.0012
"554","Trettin_et_al_2017","29","29_2",5,10,0.562,0.0434,0.0031
"555","Trettin_et_al_2017","29","29_2",20,25,0.707,0.0198,0.0014
"556","Trettin_et_al_2017","29","29_2",35,40,0.619,0.0258,0.0016
"557","Trettin_et_al_2017","29","29_2",70,75,0.629,0.0225,0.0016
"558","Trettin_et_al_2017","29","29_2",145,150,0.788,0.0225,0.0017
"559","Trettin_et_al_2017","29","29_2",185,190,0.553,0.0209,0.0016
"560","Trettin_et_al_2017","29","29_3",5,10,0.63,0.0276,0.0011
"561","Trettin_et_al_2017","29","29_3",20,25,0.622,0.0164,0.001
"562","Trettin_et_al_2017","29","29_3",35,40,0.763,0.0133,9e-04
"563","Trettin_et_al_2017","29","29_3",70,75,0.715,0.0142,9e-04
"564","Trettin_et_al_2017","29","29_4",20,25,0.71,0.0139,0.0012
"565","Trettin_et_al_2017","29","29_4",35,40,0.697,0.0131,9e-04
"566","Trettin_et_al_2017","29","29_4",50,55,0.782,0.0147,0.0012
"567","Trettin_et_al_2017","29","29_4",145,150,0.678,0.0203,5e-04
"568","Trettin_et_al_2017","29","29_4",175,180,0.641,0.0201,0.0014
"569","Trettin_et_al_2017","29","29_5",5,10,0.518,0.0365,0.0024
"570","Trettin_et_al_2017","29","29_5",20,25,0.569,0.0198,5e-04
"571","Trettin_et_al_2017","29","29_5",35,40,0.606,0.0151,9e-04
"572","Trettin_et_al_2017","29","29_5",59,64,0.631,0.016,0.001
"573","Trettin_et_al_2017","29","29_5",145,150,0.76,0.0134,9e-04
"574","Trettin_et_al_2017","29","29_5",190,195,0.651,0.0235,0.0013
"575","Trettin_et_al_2017","29","29_6",12,17,0.624,0.0327,0.0021
"576","Trettin_et_al_2017","29","29_6",20,25,0.543,0.0231,0.0015
"577","Trettin_et_al_2017","29","29_6",35,40,0.687,0.0196,0.0014
"578","Trettin_et_al_2017","29","29_6",70,75,0.6,0.0224,0.0018
"579","Trettin_et_al_2017","29","29_6",145,150,0.77,0.0161,0.0012
"580","Trettin_et_al_2017","29","29_6",170,175,0.58,0.019,7e-04
"581","Trettin_et_al_2017","32B","32B_1",5,10,0.831,0.022,7e-04
"582","Trettin_et_al_2017","32B","32B_1",20,25,0.769,0.0158,0.0012
"583","Trettin_et_al_2017","32B","32B_1",70,75,0.766,0.014,0.001
"584","Trettin_et_al_2017","32B","32B_1",145,150,0.867,0.0137,9e-04
"585","Trettin_et_al_2017","32B","32B_1",190,195,0.811,0.015,0.0011
"586","Trettin_et_al_2017","32B","32B_2",5,10,0.955,0.0175,0.0015
"587","Trettin_et_al_2017","32B","32B_2",20,25,0.782,0.0163,0.0016
"588","Trettin_et_al_2017","32B","32B_2",35,40,0.91,0.0176,6e-04
"589","Trettin_et_al_2017","32B","32B_2",70,75,0.84,0.0179,0.0014
"590","Trettin_et_al_2017","32B","32B_2",145,150,0.883,0.014,0.0012
"591","Trettin_et_al_2017","32B","32B_2",190,195,0.834,0.0144,0.0014
"592","Trettin_et_al_2017","32B","32B_3",5,10,1.007,0.0121,0.001
"593","Trettin_et_al_2017","32B","32B_3",24,29,0.722,0.0154,0.0011
"594","Trettin_et_al_2017","32B","32B_3",47,52,0.78,0.0129,4e-04
"595","Trettin_et_al_2017","32B","32B_3",70,75,0.801,0.0167,0.0012
"596","Trettin_et_al_2017","32B","32B_3",145,150,1.083,0.015,0.001
"597","Trettin_et_al_2017","32B","32B_4",20,25,0.853,0.0155,0.0015
"598","Trettin_et_al_2017","32B","32B_4",35,40,0.794,0.0125,3e-04
"599","Trettin_et_al_2017","32B","32B_4",70,75,0.883,0.0131,0.0014
"600","Trettin_et_al_2017","32B","32B_4",145,150,0.831,0.0133,0.0013
"601","Trettin_et_al_2017","32B","32B_5",5,10,0.751,0.0198,0.0016
"602","Trettin_et_al_2017","32B","32B_5",20,25,0.774,0.0159,0.0012
"603","Trettin_et_al_2017","32B","32B_5",45,50,0.719,0.0273,0.0015
"604","Trettin_et_al_2017","32B","32B_5",70,75,0.673,0.0187,0.0011
"605","Trettin_et_al_2017","32B","32B_5",145,150,0.918,0.0201,5e-04
"606","Trettin_et_al_2017","32B","32B_5",190,195,1.177,0.0116,7e-04
"607","Trettin_et_al_2017","32B","32B_6",5,10,0.702,0.0235,0.002
"608","Trettin_et_al_2017","32B","32B_6",20,25,0.748,0.0208,0.0018
"609","Trettin_et_al_2017","32B","32B_6",35,40,0.681,0.0197,0.0017
"610","Trettin_et_al_2017","32B","32B_6",70,75,0.786,0.0187,0.0016
"611","Trettin_et_al_2017","32B","32B_6",145,150,0.93,0.0199,0.0015
"612","Trettin_et_al_2017","32B","32B_6",185,190,0.931,0.016,0.001
"613","Trettin_et_al_2017","35","35_1",10,15,1.029,0.0112,9e-04
"614","Trettin_et_al_2017","35","35_1",20,25,0.914,0.0113,9e-04
"615","Trettin_et_al_2017","35","35_1",38,43,1.004,0.0083,7e-04
"616","Trettin_et_al_2017","35","35_1",70,75,0.784,0.0144,9e-04
"617","Trettin_et_al_2017","35","35_1",145,150,0.75,0.0154,8e-04
"618","Trettin_et_al_2017","35","35_1",190,195,0.948,0.013,8e-04
"619","Trettin_et_al_2017","35","35_2",6,11,0.868,0.0155,0.0013
"620","Trettin_et_al_2017","35","35_2",20,25,0.863,0.0127,0.0012
"621","Trettin_et_al_2017","35","35_2",35,40,0.918,0.0112,0.001
"622","Trettin_et_al_2017","35","35_2",70,75,0.856,0.0103,9e-04
"623","Trettin_et_al_2017","35","35_2",135,140,0.722,0.0103,8e-04
"624","Trettin_et_al_2017","35","35_2",190,195,0.865,0.0166,0.001
"625","Trettin_et_al_2017","35","35_3",5,10,0.949,0.0165,0.001
"626","Trettin_et_al_2017","35","35_3",20,25,0.793,0.0246,6e-04
"627","Trettin_et_al_2017","35","35_3",47,52,0.715,0.0206,0.0012
"628","Trettin_et_al_2017","35","35_3",70,75,0.646,0.025,9e-04
"629","Trettin_et_al_2017","35","35_4",4,9,0.806,0.0187,0.0012
"630","Trettin_et_al_2017","35","35_4",16,21,0.877,0.0179,0.0015
"631","Trettin_et_al_2017","35","35_4",35,40,0.946,0.0162,0.0014
"632","Trettin_et_al_2017","35","35_4",70,75,0.822,0.0159,9e-04
"633","Trettin_et_al_2017","35","35_4",148,153,0.946,0.0148,0.001
"634","Trettin_et_al_2017","35","35_5",5,10,0.94,0.0104,8e-04
"635","Trettin_et_al_2017","35","35_5",19,24,0.906,0.0184,7e-04
"636","Trettin_et_al_2017","35","35_5",40,45,0.878,0.0115,8e-04
"637","Trettin_et_al_2017","35","35_5",70,75,0.768,0.013,7e-04
"638","Trettin_et_al_2017","35","35_6",5,10,0.806,0.0184,0.0014
"639","Trettin_et_al_2017","35","35_6",20,25,0.867,0.0144,0.001
"640","Trettin_et_al_2017","35","35_6",30,35,0.691,0.0172,0.0013
"641","Trettin_et_al_2017","35","35_6",70,75,0.74,0.0273,0.0013
"642","Trettin_et_al_2017","35","35_6",146,151,0.829,0.0174,0.001
"643","Trettin_et_al_2017","35","35_6",178,183,0.791,0.0175,0.001
"644","Trettin_et_al_2017","36","36_1",5,10,0.842,0.0195,0.0015
"645","Trettin_et_al_2017","36","36_1",20,25,0.971,0.0108,9e-04
"646","Trettin_et_al_2017","36","36_1",35,40,0.893,0.0107,9e-04
"647","Trettin_et_al_2017","36","36_1",83,87,0.787,0.0167,8e-04
"648","Trettin_et_al_2017","36","36_1",145,150,0.937,0.0157,8e-04
"649","Trettin_et_al_2017","36","36_1",190,195,0.819,0.0218,0.0012
"650","Trettin_et_al_2017","36","36_2",5,10,0.877,0.0178,0.0013
"651","Trettin_et_al_2017","36","36_2",20,25,0.896,0.0132,0.0011
"652","Trettin_et_al_2017","36","36_2",35,40,0.798,0.0174,0.0012
"653","Trettin_et_al_2017","36","36_2",70,75,0.723,0.0207,0.0013
"654","Trettin_et_al_2017","36","36_2",145,150,0.771,0.0243,0.0015
"655","Trettin_et_al_2017","36","36_2",190,195,0.879,0,0
"656","Trettin_et_al_2017","36","36_3",5,10,0.756,0.0176,0.0014
"657","Trettin_et_al_2017","36","36_3",20,25,0.869,0.0158,9e-04
"658","Trettin_et_al_2017","36","36_3",34,39,0.827,0.0118,9e-04
"659","Trettin_et_al_2017","36","36_3",70,75,0.796,0.0252,0.0013
"660","Trettin_et_al_2017","36","36_3",144,149,0.741,0.0145,8e-04
"661","Trettin_et_al_2017","36","36_3",185,190,0.756,0.0217,0.0013
"662","Trettin_et_al_2017","36","36_4",8,13,0.798,0.017,0.0013
"663","Trettin_et_al_2017","36","36_4",20,25,0.721,0.0164,0.0012
"664","Trettin_et_al_2017","36","36_4",35,40,0.636,0.0165,0.0012
"665","Trettin_et_al_2017","36","36_4",70,75,0.762,0.0194,0.0012
"666","Trettin_et_al_2017","36","36_4",145,150,0.629,0.0212,0.0013
"667","Trettin_et_al_2017","36","36_4",190,195,0.738,0.019,0.0012
"668","Trettin_et_al_2017","36","36_5",8,13,0.846,0.0157,0.0013
"669","Trettin_et_al_2017","36","36_5",20,25,0.688,0.0159,9e-04
"670","Trettin_et_al_2017","36","36_5",35,40,0.731,0.022,0.0013
"671","Trettin_et_al_2017","36","36_5",70,75,0.623,0.0162,8e-04
"672","Trettin_et_al_2017","36","36_5",145,150,0.681,0.0171,9e-04
"673","Trettin_et_al_2017","36","36_5",190,195,0.745,0.0207,0.0013
"674","Trettin_et_al_2017","36","36_6",5,10,0.709,0.022,0.0018
"675","Trettin_et_al_2017","36","36_6",20,25,0.769,0.0156,0.0013
"676","Trettin_et_al_2017","36","36_6",35,40,0.741,0.0153,0.0011
"677","Trettin_et_al_2017","36","36_6",70,75,0.639,0.0424,0.0014
"678","Trettin_et_al_2017","36","36_6",145,150,0.758,0.0233,0.0013
"679","Trettin_et_al_2017","37","37_1",5,10,0.678,0.0192,0.0016
"680","Trettin_et_al_2017","37","37_1",23,28,0.697,0.022,0.0016
"681","Trettin_et_al_2017","37","37_1",51,56,0.637,0.0206,0.0014
"682","Trettin_et_al_2017","37","37_1",90,95,0.59,0.0192,0.001
"683","Trettin_et_al_2017","37","37_2",5,10,0.582,0.0268,0.0019
"684","Trettin_et_al_2017","37","37_2",20,25,0.522,0.0264,0.0019
"685","Trettin_et_al_2017","37","37_2",42,47,0.606,0.0277,0.0016
"686","Trettin_et_al_2017","37","37_2",78,83,0.758,0.0162,0.0011
"687","Trettin_et_al_2017","37","37_3",5,10,0.502,0.0231,0.0017
"688","Trettin_et_al_2017","37","37_3",20,25,0.564,0.0217,0.0015
"689","Trettin_et_al_2017","37","37_3",35,40,0.665,0.0216,0.0014
"690","Trettin_et_al_2017","37","37_3",65,70,0.658,0.0161,8e-04
"691","Trettin_et_al_2017","37","37_3",145,150,0.762,0.0155,8e-04
"692","Trettin_et_al_2017","37","37_3",188,193,0.869,0.0138,9e-04
"693","Trettin_et_al_2017","37","37_4",5,10,0.542,0.0233,0.0019
"694","Trettin_et_al_2017","37","37_4",20,25,0.472,0.0195,0.0015
"695","Trettin_et_al_2017","37","37_4",35,40,0.559,0.0198,0.0014
"696","Trettin_et_al_2017","37","37_4",70,75,0.752,0.0169,0.0012
"697","Trettin_et_al_2017","37","37_4",145,150,0.768,0.0169,0.0012
