core_id,δ15N,δ13C,N %,OC %,C/N,δ13C/δ15N,g OC/gsed,g N/gsed,dbd_gsed/cc,dbd_gC/CC,Mass Depth,OM%,Porosity,LOW ,137Cs,226Ra,210Pbex,error,Age (y),Year of,Rate,Mass Acc. Rate,Carbon Acc. Rate,Total Mass Acc.,Total Carbon Acc.
HI 34-35,1.28,-22.84,0.02,0.29,15,-17.8,0.003,0.0002,1.35,0.004,40.978,1.38,0.3,HI 34-35,,,,,,,,,,13519.1,39.2
S 0-1,2.87,-24.36,0.11,1.51,13.6,-8.5,0.015,0.0011,0.85,0.013,0.845,7.41,0.26,S 0-1,3.56,17.86,19.3,10.72,1.3,2012.1,6.6,5480.28,82.57,8454.8,127.4
S 1-2,3.66,-24.31,0.1,1.4,14,-6.6,0.014,0.001,0.84,0.012,1.689,5.46,0.29,S 1-2,3.04,17.23,27.37,10.64,1.9,2010.3,6.5,5366.1,74.89,8432.5,117.7
S 2-3,3.16,-24.5,0.09,1.3,14.4,-7.8,0.013,0.0009,0.9,0.012,2.585,6.35,0.34,S 2-3,1.76,11.54,37.7,11.62,2.9,2007.3,4.2,3908.54,50.76,8964.2,116.4
S 3-4,3.61,-24.23,0.12,1.77,15,-6.7,0.018,0.0012,0.96,0.017,3.542,9.28,0.39,S 3-4,3.11,17.52,29.99,10.45,2.7,2004.6,3.5,3652.77,64.66,9567,169.3
S 4-5,3.88,-24.23,0.13,1.97,15.4,-6.2,0.02,0.0013,0.88,0.017,4.417,9,0.38,S 4-5,2.18,19.27,16.5,10.76,1.5,2003.1,4.7,4294.91,84.54,8754.7,172.3
S 5-6,4.07,-24.24,0.13,1.96,15.4,-6,0.02,0.0013,0.94,0.019,5.361,9.03,0.44,S 5-6,2.66,20.77,39.77,11.26,4.2,1999,3.8,4015.61,78.65,9438.8,184.9
S 6-7,3.44,-24.36,0.13,1.95,15.4,-7.1,0.02,0.0013,0.96,0.019,6.325,7.8,0.39,S 6-7,3.66,23.29,36.83,11.31,4.5,1994.5,2.3,2447.69,47.8,9640.7,188.3
S 7-8,3.76,-24.09,0.11,1.65,15.5,-6.4,0.017,0.0011,0.99,0.016,7.32,7.14,0.39,S 7-8,1.74,20.44,37.78,11.22,5.6,1988.9,2,2223.12,36.7,9948.8,164.2
S 8-9,4.04,-23.58,0.11,1.64,14.5,-5.8,0.016,0.0011,0.94,0.015,8.264,5.94,0.35,S 8-9,2.47,21.76,14.23,10.53,2.3,1986.7,2.5,2441.5,40,9434.2,154.6
S 9-10,3.71,-22.99,0.13,2.04,15.4,-6.2,0.02,0.0013,0.92,0.019,9.183,6.42,0.4,S 9-10,3.72,25.01,24.07,12.06,4.1,1982.6,3.2,3198.62,65.25,9197.8,187.6
S 10-11,3.77,-23.58,0.09,1.23,13.3,-6.3,0.012,0.0009,0.94,0.012,10.128,6.66,0.4,S 10-11,3.51,23.88,2.73,9.71,0.5,1982.1,4.1,4200.6,51.87,9449.9,116.7
S 11-12,3.64,-23.75,0.08,1.2,15,-6.5,0.012,0.0008,0.95,0.011,11.08,6.07,0.37,S 11-12,3.22,21.84,20.34,9.7,4.1,1977.9,4.6,4669.5,56.26,9514.7,114.6
S 12-13,4,-23.1,0.13,2.02,15.4,-5.8,0.02,0.0013,0.85,0.017,11.929,10.73,0.44,S 12-13,7.5,28.97,25.12,11.71,5.3,1972.7,2.1,1929.37,38.99,8488,171.5
S 13-14,4.09,-23.23,0.11,1.64,14.5,-5.7,0.016,0.0011,0.91,0.015,12.834,6.9,0.4,S 13-14,4.62,32.13,26.12,11.94,7.1,1965.6,1.7,1601.65,26.29,9054.6,148.6
S 14-15,3.73,-22.79,0.1,1.55,16,-6.1,0.016,0.001,0.93,0.014,13.763,6.02,0.41,S 14-15,3.77,33.92,30.5,11.52,11.3,1954.3,1.1,1166.62,18.14,9290.4,144.4
S 15-16,4.23,-23.11,0.11,1.75,15.5,-5.5,0.017,0.0011,0.98,0.017,14.743,6.55,0.38,S 15-16,2.9,33.92,15.6,7.52,8.3,1946.1,1,1028.81,18,9798.3,171.5
S 16-17,3.67,-22.98,0.1,1.43,14,-6.3,0.014,0.001,1,0.014,15.739,5.94,0.4,S 16-17,2.14,39.43,12.67,11.75,8.9,1937.2,1.2,1299.12,18.59,9957,142.5
S 17-18,3.32,-23.27,0.08,1.19,15,-7,0.012,0.0008,1.01,0.012,16.747,4.63,0.35,S 17-18,3.01,42.57,1.74,8.84,1.5,1935.7,1.5,1685.29,19.99,10087.1,119.6
S 18-19,3.07,-23.44,0.07,1.11,15.7,-7.6,0.011,0.0007,1.2,0.013,17.949,4.13,0.39,S 18-19,2.93,37.81,2.28,9.89,2.4,1933.3,5.8,8378,92.81,12020.6,133.2
S 19-20,3.01,-23.45,0.08,1.17,15,-7.8,0.012,0.0008,1.06,0.012,19.011,4,0.34,S 19-20,0,33.72,8.76,6.74,9.9,1923.4,1.6,1925.06,22.57,10620.1,124.5
S 20-21,2.83,-23.71,0.06,0.86,15,-8.4,0.009,0.0006,1.23,0.011,20.243,4.43,0.4,S 20-21,,,,,,,,,,12316.8,105.6
S 21-22,3.12,-23.49,0.08,1.37,17.5,-7.5,0.014,0.0008,0.92,0.013,21.164,4.54,0.3,S 21-22,,,,,,,,,,9207.2,125.8
S 22-23,2.74,-23.81,0.07,1.11,15.7,-8.7,0.011,0.0007,1.07,0.012,22.237,6.52,0.41,S 22-23,,,,,,,,,,10735.7,118.9
S 23-24,3.18,-23.62,0.07,1.17,17.1,-7.4,0.012,0.0007,1.07,0.012,23.305,5.25,0.38,S 23-24,,,,,,,,,,10673.9,124.8
S 24-25,3.44,-23.48,0.1,1.79,18,-6.8,0.018,0.001,1.08,0.019,24.384,6.03,0.42,S 24-25,,,,,,,,,,10792.3,192.6
S 25-26,2.67,-23.74,0.06,0.89,15,-8.9,0.009,0.0006,1.18,0.01,25.563,5.01,0.38,S 25-26,,,,,,,,,,11786.5,104.5
S 26-27,2.42,-24.03,0.07,1.01,14.3,-9.9,0.01,0.0007,1.03,0.01,26.593,3.97,0.33,S 26-27,,,,,,,,,,10299.4,103.9
S 27-28,2.64,-23.66,0.07,0.95,14.3,-9,0.01,0.0007,1.12,0.011,27.715,3.77,0.35,S 27-28,,,,,,,,,,11219.5,106.9
S 28-29,2.32,-23.64,0.06,0.92,15,-10.2,0.009,0.0006,1.16,0.011,28.878,4.38,0.38,S 28-29,,,,,,,,,,11634.9,107.3
S 29-30,1.99,-23.59,0.05,0.74,14,-11.9,0.007,0.0005,1.23,0.009,30.106,5.08,0.37,S 29-30,,,,,,,,,,12275.6,91.1
S 30-31,2.04,-23.55,0.05,0.6,12,-11.5,0.006,0.0005,1.21,0.007,31.314,4.03,0.3,S 30-31,,,,,,,,,,12083.6,72.4
S 31-32,1.82,-23.44,0.04,0.51,12.5,-12.9,0.005,0.0004,1.35,0.007,32.664,2.14,0.3,S 31-32,,,,,,,,,,13503.1,69.3
S 32-33,1.94,-23.31,0.04,0.48,12.5,-12,0.005,0.0004,1.34,0.006,34.005,2.15,0.29,S 32-33,,,,,,,,,,13411,63.7
S 33-34,1.3,-23.71,0.03,0.36,13.3,-18.2,0.004,0.0003,1.1,0.004,35.11,1.95,0.21,S 33-34,,,,,,,,,,11047.9,40.3
S 34-35,1.47,-23.59,0.03,0.39,13.3,-16,0.004,0.0003,1.09,0.004,36.201,1.91,0.22,S 34-35,,,,,,,,,,10905.5,42.2
F 0-1,3.16,-23.52,0.09,1.13,12.2,-7.4,0.011,0.0009,0.81,0.009,0.808,5.28,0.2,F 0-1,4.16,22.28,24.06,10.16,1,2012.4,6.9,5612.97,63.29,8079.7,91.1
F 1-2,3.32,-22.96,0.11,1.45,12.7,-6.9,0.014,0.0011,1.09,0.016,1.9,5.41,0.33,F 1-2,1.44,20.46,32.37,11.26,1.9,2010.5,7.1,7755.32,112.07,10918.4,157.8
F 2-3,3.41,-23.16,0.08,1.2,15,-6.8,0.012,0.0008,1.17,0.014,3.074,5.54,0.37,F 2-3,3.41,25.1,24.3,10.11,1.6,2008.9,5.6,6560.17,78.61,11742.4,140.7
F 3-4,3.07,-22.87,0.12,1.58,13.3,-7.4,0.016,0.0012,1,0.016,4.07,5.4,0.33,F 3-4,3.47,27.15,24.78,10.28,1.5,2007.4,6.4,6374.89,100.69,9955.8,157.2
F 4-5,3.25,-22.31,0.14,1.93,13.6,-6.9,0.019,0.0014,1.03,0.02,5.096,6.85,0.4,F 4-5,5.19,23.41,36.78,11.5,2.4,2005,5.2,5368.53,103.85,10263.4,198.5
F 5-6,3.37,-23.09,0.09,1.25,13.3,-6.9,0.012,0.0009,0.91,0.011,6.007,6.85,0.36,F 5-6,6.06,34.82,20.13,10.92,1.2,2003.7,5.5,4991.51,62.27,9113.8,113.7
F 6-7,3.67,-23.18,0.11,1.4,12.7,-6.3,0.014,0.0011,0.94,0.013,6.947,10.24,0.43,F 6-7,6.56,32.98,30.69,12.06,2.1,2001.7,6.2,5805.67,81.03,9400.4,131.2
F 7-8,3.54,-23.04,0.12,1.81,15,-6.5,0.018,0.0012,0.92,0.017,7.869,9.16,0.41,F 7-8,9.6,37.47,38.15,13.07,2.7,1999,4.3,3920.17,71,9216.4,166.9
F 8-9,3.61,-22.58,0.15,1.88,12.7,-6.3,0.019,0.0015,0.81,0.015,8.681,8.13,0.35,F 8-9,6.99,25.69,33.27,11.54,2.2,1996.8,4,3287.57,61.82,8120.2,152.7
F 9-10,3.24,-23.34,0.11,1.43,12.7,-7.2,0.014,0.0011,0.88,0.013,9.563,7.62,0.38,F 9-10,8.64,28.85,26.07,11.95,2,1994.7,4.7,4103.53,58.48,8823,125.7
F 10-11,3.43,-23.32,0.11,1.52,13.6,-6.8,0.015,0.0011,0.95,0.014,10.514,9.56,0.42,F 10-11,7.72,33.77,5.07,9.68,0.4,1994.3,7.7,7309.06,111.15,9504.8,144.5
F 11-12,3.22,-22.9,0.13,1.74,13.1,-7.1,0.017,0.0013,0.88,0.015,11.39,8.8,0.4,F 11-12,8,44.68,41.96,14.39,3.6,1990.7,5,4414.55,76.95,8761.2,152.7
F 12-13,3.41,-23.85,0.17,2.29,13.5,-7,0.023,0.0017,0.73,0.017,12.122,8.99,0.33,F 12-13,8.33,46.5,28.06,16.49,2.2,1988.5,3.4,2515.69,57.54,7319.1,167.4
F 13-14,3.57,-24.17,0.17,2.32,13.5,-6.8,0.023,0.0017,0.79,0.018,12.913,15.7,0.47,F 13-14,6.07,64.69,24.38,15.52,2.21,1986.3,4.5,3580.03,82.97,7914.4,183.4
F 14-15,3.72,-24.31,0.28,3.84,13.6,-6.5,0.038,0.0028,0.65,0.025,13.564,18.59,0.41,F 14-15,1.71,75.7,38.05,14.36,3.08,1983.2,3.7,2437.09,93.48,6503.7,249.5
F 15-16,2.77,-24.44,0.32,4.12,12.8,-8.8,0.041,0.0032,0.72,0.03,14.281,18.37,0.47,F 15-16,7.55,68.63,63.64,19.34,6.59,1976.6,2.2,1580.35,65.09,7170.9,295.3
F 16-17,2.85,-24.25,0.34,4.28,12.6,-8.5,0.043,0.0034,0.69,0.03,14.971,17.17,0.4,F 16-17,3.36,81.79,29.88,12.83,3.49,1973.1,1.9,1308.39,56.01,6897.9,295.3
F 17-18,2.55,-24.63,0.29,3.52,12.1,-9.7,0.035,0.0029,0.74,0.026,15.708,15.99,0.41,F 17-18,1.45,62.92,24.72,15.45,3.44,1969.7,2.6,1932.09,68.07,7373.1,259.8
F 18-19,2.64,-24.87,0.24,3.09,12.9,-9.4,0.031,0.0024,0.83,0.026,16.538,12.94,0.49,F 18-19,1.59,48.51,28.87,9.13,5.16,1964.5,2.5,2111.38,65.29,8297.8,256.6
F 19-20,2.55,-25.15,0.22,2.54,11.4,-9.9,0.025,0.0022,0.75,0.019,17.287,10.17,0.36,F 19-20,1.31,65.35,15.49,12.99,2.83,1961.7,2.3,1742.38,44.21,7491.5,190.1
F 20-21,2.5,-25.26,0.16,1.98,12.5,-10.1,0.02,0.0016,0.87,0.017,18.161,11.04,0.43,F 20-21,0.18,43.4,18.58,8.7,4.44,1957.3,3.1,2685.93,53.11,8746.8,172.9
F 21-22,2.57,-24.65,0.18,2.27,12.8,-9.6,0.023,0.0018,0.94,0.021,19.1,9.62,0.42,F 21-22,2.25,48.52,36.85,14.5,12.18,1945.1,1.4,1320.98,29.97,9386,213
F 22-23,2.43,-24.67,0.14,1.68,12.1,-10.2,0.017,0.0014,1,0.017,20.099,6.87,0.43,F 22-23,1.83,39.59,33.16,8.89,18.75,1926.3,0.7,709.64,11.94,9991.2,168.1
F 23-24,2.28,-24.04,0.11,1.27,11.8,-10.5,0.013,0.0011,1.07,0.014,21.172,4.68,0.34,F 23-24,1.35,54.69,7.67,12.04,7.05,1919.3,0.6,683.71,8.7,10723.1,136.4
F 24-25,2.42,-24.16,0.11,1.32,11.8,-10,0.013,0.0011,1.2,0.016,22.373,5.12,0.34,F 24-25,0,49.49,16.55,8.26,28.9,1890.4,0.8,966.31,12.79,12018.7,159.1
F 25-26,2.48,-23.96,0.08,0.97,12.5,-9.7,0.01,0.0008,1.26,0.012,23.638,4.29,0.32,F 25-26,,,,,,,,,,12644.3,123.1
F 26-27,1.63,-24.01,0.06,0.9,15,-14.7,0.009,0.0006,1.36,0.012,24.995,3.46,0.31,F 26-27,,,,,,,,,,13568.9,122.5
F 27-28,2.01,-24.02,0.06,0.69,11.7,-12,0.007,0.0006,1.39,0.01,26.386,3.11,0.31,F 27-28,,,,,,,,,,13912.5,96.2
F 28-29,2.37,-24.22,0.05,0.67,14,-10.2,0.007,0.0005,1.55,0.01,27.932,2.65,0.34,F 28-29,,,,,,,,,,15456.5,104
F 29-30,2.44,-24.24,0.04,0.53,12.5,-9.9,0.005,0.0004,1.25,0.007,29.18,2.23,0.24,F 29-30,,,,,,,,,,12484.7,65.9
F 30-31,2.31,-24.61,0.04,0.42,10,-10.7,0.004,0.0004,1.3,0.005,30.476,2.09,0.25,F 30-31,,,,,,,,,,12956.9,54.9
F 31-32,2.53,-25.25,0.04,0.56,15,-10,0.006,0.0004,1.52,0.008,31.993,2.3,0.34,F 31-32,,,,,,,,,,15170.5,85.7
F 32-33,2.65,-24.95,0.05,0.61,12,-9.4,0.006,0.0005,1.42,0.009,33.411,2.23,0.31,F 32-33,,,,,,,,,,14182.1,86.1
F 33-34,2.58,-25.05,0.04,0.45,10,-9.7,0.004,0.0004,1.33,0.006,34.741,2.21,0.29,F 33-34,,,,,,,,,,13298.9,59.8
F 34-35,2.36,-25.01,0.02,0.23,10,-10.6,0.002,0.0002,1.48,0.003,36.217,1.41,0.29,F 34-35,,,,,,,,,,14758.6,33.4
F 35-36,1.41,-25.19,0.01,0.14,10,-17.9,0.001,0.0001,1.49,0.002,37.709,0.98,0.27,F 35-36,,,,,,,,,,14925.2,20.9
F 36-37,0.89,-25.17,0.01,0.11,10,-28.3,0.001,0.0001,1.46,0.002,39.174,1.74,0.26,F 36-37,,,,,,,,,,14644.5,16.6
F 37-38,1,-25.26,0.01,0.08,10,-25.3,0.001,0.0001,1.39,0.001,40.564,1.63,0.24,F 37-38,,,,,,,,,,13903.3,11.2
F 38-39,1.47,-25.26,0.01,0.09,10,-17.2,0.001,0.0001,1.65,0.001,42.214,0.91,0.29,F 38-39,,,,,,,,,,16499.9,15.2
F 39-40,0.61,-24.13,0.01,0.08,10,-39.6,0.001,0.0001,1.62,0.001,43.834,0.77,0.27,F 39-40,,,,,,,,,,16198.9,12.4
