study_id,genus,species,n_plants,height,height_unit,carbon_conversion_factor,carbon_conversion_factor_source,plant_mass_organic_matter,plant_mass_organic_matter_unit,allometric_eq_present
Dontis_et_al_2020,Avivennia,germinans,1,38.5,cm,0.39,Radabaugh et al. 2017,4.966,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,5,cm,0.39,Radabaugh et al. 2017,0.247,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,8,cm,0.39,Radabaugh et al. 2017,0.266,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,8,cm,0.39,Radabaugh et al. 2017,0.556,g,yes
Dontis_et_al_2020,Avivennia,germinans,1,7.5,cm,0.39,Radabaugh et al. 2017,0.272,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,82,cm,0.411,Radabaugh et al. 2017,7.204,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,34,cm,0.411,Radabaugh et al. 2017,3.483,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,35,cm,0.411,Radabaugh et al. 2017,1.67,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,51,cm,0.411,Radabaugh et al. 2017,1.902,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,43,cm,0.411,Radabaugh et al. 2017,4.116,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,60,cm,0.411,Radabaugh et al. 2017,12.763,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,91,cm,0.411,Radabaugh et al. 2017,18.905,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,49,cm,0.411,Radabaugh et al. 2017,7.486,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,29,cm,0.411,Radabaugh et al. 2017,0.773,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,28,cm,0.411,Radabaugh et al. 2017,0.628,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,48,cm,0.411,Radabaugh et al. 2017,2.413,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,45,cm,0.411,Radabaugh et al. 2017,1.544,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,63,cm,0.411,Radabaugh et al. 2017,5.418,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,45,cm,0.411,Radabaugh et al. 2017,2.214,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,13,cm,0.411,Radabaugh et al. 2017,0.159,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,32,cm,0.411,Radabaugh et al. 2017,0.692,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,43,cm,0.411,Radabaugh et al. 2017,2.036,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,52,cm,0.411,Radabaugh et al. 2017,4.227,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,12,cm,0.411,Radabaugh et al. 2017,0.122,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,46,cm,0.411,Radabaugh et al. 2017,3.35,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,31,cm,0.411,Radabaugh et al. 2017,3.9,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,29,cm,0.411,Radabaugh et al. 2017,0.813,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,43,cm,0.411,Radabaugh et al. 2017,5.773,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,46,cm,0.411,Radabaugh et al. 2017,6.496,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,38,cm,0.411,Radabaugh et al. 2017,4.13,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,29,cm,0.411,Radabaugh et al. 2017,1.816,g,yes
Dontis_et_al_2020,Suaeda,linearis,1,90,cm,0.411,Radabaugh et al. 2017,19.02,g,yes
Dontis_et_al_2020,Vigna,luteola,1,202,cm,0.411,Radabaugh et al. 2017,3.904,g,yes
Dontis_et_al_2020,Vigna,luteola,1,111,cm,0.411,Radabaugh et al. 2017,1.385,g,yes
Dontis_et_al_2020,Vigna,luteola,1,65,cm,0.411,Radabaugh et al. 2017,0.851,g,yes
Dontis_et_al_2020,Vigna,luteola,1,57,cm,0.411,Radabaugh et al. 2017,0.627,g,yes
Dontis_et_al_2020,Vigna,luteola,1,31,cm,0.411,Radabaugh et al. 2017,0.28,g,yes
Dontis_et_al_2020,Vigna,luteola,1,32,cm,0.411,Radabaugh et al. 2017,0.366,g,yes
Dontis_et_al_2020,Vigna,luteola,1,54,cm,0.411,Radabaugh et al. 2017,0.726,g,yes
Dontis_et_al_2020,Vigna,luteola,1,44,cm,0.411,Radabaugh et al. 2017,0.408,g,yes
Dontis_et_al_2020,Vigna,luteola,1,16,cm,0.411,Radabaugh et al. 2017,0.146,g,yes
Dontis_et_al_2020,Vigna,luteola,1,43,cm,0.411,Radabaugh et al. 2017,0.414,g,yes
Dontis_et_al_2020,Vigna,luteola,1,63,cm,0.411,Radabaugh et al. 2017,1.79,g,yes
Dontis_et_al_2020,Vigna,luteola,1,17,cm,0.411,Radabaugh et al. 2017,0.084,g,yes
Dontis_et_al_2020,Vigna,luteola,1,37,cm,0.411,Radabaugh et al. 2017,0.173,g,yes
Dontis_et_al_2020,Vigna,luteola,1,122,cm,0.411,Radabaugh et al. 2017,3.978,g,yes
Dontis_et_al_2020,Vigna,luteola,1,28,cm,0.411,Radabaugh et al. 2017,0.129,g,yes
Dontis_et_al_2020,Vigna,luteola,1,135,cm,0.411,Radabaugh et al. 2017,3.617,g,yes
Dontis_et_al_2020,Vigna,luteola,1,53,cm,0.411,Radabaugh et al. 2017,1.034,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,77,cm,0.411,Radabaugh et al. 2017,0.195,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,67,cm,0.411,Radabaugh et al. 2017,0.151,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,69,cm,0.411,Radabaugh et al. 2017,0.244,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,67,cm,0.411,Radabaugh et al. 2017,0.175,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,56,cm,0.411,Radabaugh et al. 2017,0.204,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,52,cm,0.411,Radabaugh et al. 2017,0.137,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,74,cm,0.411,Radabaugh et al. 2017,0.251,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,87,cm,0.411,Radabaugh et al. 2017,0.246,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,45,cm,0.411,Radabaugh et al. 2017,0.113,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,73,cm,0.411,Radabaugh et al. 2017,0.191,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,73,cm,0.411,Radabaugh et al. 2017,0.222,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,34,cm,0.411,Radabaugh et al. 2017,0.088,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,50,cm,0.411,Radabaugh et al. 2017,0.161,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,43,cm,0.411,Radabaugh et al. 2017,0.115,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,61,cm,0.411,Radabaugh et al. 2017,0.168,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,67,cm,0.411,Radabaugh et al. 2017,0.141,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,93,cm,0.411,Radabaugh et al. 2017,0.405,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,38,cm,0.411,Radabaugh et al. 2017,0.084,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,64,cm,0.411,Radabaugh et al. 2017,0.162,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,90,cm,0.411,Radabaugh et al. 2017,0.255,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,42,cm,0.411,Radabaugh et al. 2017,0.09,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,66,cm,0.411,Radabaugh et al. 2017,0.229,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,113,cm,0.411,Radabaugh et al. 2017,0.249,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,87,cm,0.411,Radabaugh et al. 2017,0.395,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,65,cm,0.411,Radabaugh et al. 2017,0.18,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,42,cm,0.411,Radabaugh et al. 2017,0.098,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,46,cm,0.411,Radabaugh et al. 2017,0.052,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,6,cm,0.411,Radabaugh et al. 2017,0.115,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,41,cm,0.411,Radabaugh et al. 2017,0.13,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,62,cm,0.411,Radabaugh et al. 2017,0.14,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,42,cm,0.411,Radabaugh et al. 2017,0.071,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,61,cm,0.411,Radabaugh et al. 2017,0.196,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,97,cm,0.411,Radabaugh et al. 2017,0.25,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,80,cm,0.411,Radabaugh et al. 2017,0.182,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,62,cm,0.411,Radabaugh et al. 2017,0.17,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,58,cm,0.411,Radabaugh et al. 2017,0.112,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,40,cm,0.411,Radabaugh et al. 2017,0.08,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,71,cm,0.411,Radabaugh et al. 2017,0.153,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,140,cm,0.411,Radabaugh et al. 2017,0.498,g,yes
Dontis_et_al_2020,Seutera,angustifola,1,152,cm,0.411,Radabaugh et al. 2017,0.763,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,21,cm,0.411,Radabaugh et al. 2017,0.146,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,48,cm,0.411,Radabaugh et al. 2017,0.655,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,83,cm,0.411,Radabaugh et al. 2017,2.105,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,59,cm,0.411,Radabaugh et al. 2017,0.896,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,46,cm,0.411,Radabaugh et al. 2017,0.631,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,41,cm,0.411,Radabaugh et al. 2017,0.333,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,89,cm,0.411,Radabaugh et al. 2017,2.442,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,74,cm,0.411,Radabaugh et al. 2017,1.798,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,60,cm,0.411,Radabaugh et al. 2017,1.267,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,24,cm,0.411,Radabaugh et al. 2017,0.204,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,42,cm,0.411,Radabaugh et al. 2017,0.409,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,35,cm,0.411,Radabaugh et al. 2017,0.372,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,80,cm,0.411,Radabaugh et al. 2017,1.822,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,63,cm,0.411,Radabaugh et al. 2017,1.419,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,45,cm,0.411,Radabaugh et al. 2017,0.826,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,50,cm,0.411,Radabaugh et al. 2017,0.689,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,26,cm,0.411,Radabaugh et al. 2017,0.289,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,52,cm,0.411,Radabaugh et al. 2017,0.412,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,27,cm,0.411,Radabaugh et al. 2017,0.239,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,60,cm,0.411,Radabaugh et al. 2017,1.549,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,69,cm,0.411,Radabaugh et al. 2017,1.026,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,49,cm,0.411,Radabaugh et al. 2017,1.03,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,29,cm,0.411,Radabaugh et al. 2017,0.204,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,32,cm,0.411,Radabaugh et al. 2017,0.284,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,49,cm,0.411,Radabaugh et al. 2017,0.433,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,50,cm,0.411,Radabaugh et al. 2017,0.616,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,80,cm,0.411,Radabaugh et al. 2017,1.66,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,65,cm,0.411,Radabaugh et al. 2017,0.945,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,40,cm,0.411,Radabaugh et al. 2017,0.365,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,44,cm,0.411,Radabaugh et al. 2017,0.59,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,48,cm,0.411,Radabaugh et al. 2017,0.336,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,55,cm,0.411,Radabaugh et al. 2017,1.055,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,53,cm,0.411,Radabaugh et al. 2017,0.741,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,28,cm,0.411,Radabaugh et al. 2017,0.263,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,75,cm,0.411,Radabaugh et al. 2017,1.825,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,42,cm,0.411,Radabaugh et al. 2017,0.514,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,55,cm,0.411,Radabaugh et al. 2017,0.8,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,77,cm,0.411,Radabaugh et al. 2017,1.725,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,78,cm,0.411,Radabaugh et al. 2017,1.265,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,65,cm,0.411,Radabaugh et al. 2017,1.205,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,32,cm,0.411,Radabaugh et al. 2017,0.259,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,62,cm,0.411,Radabaugh et al. 2017,1.096,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,58,cm,0.411,Radabaugh et al. 2017,0.992,g,yes
Dontis_et_al_2020,Spartina,bakeri,1,63,cm,0.411,Radabaugh et al. 2017,1.513,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,22,cm,0.411,Radabaugh et al. 2017,0.661,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,42,cm,0.411,Radabaugh et al. 2017,1.422,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,17,cm,0.411,Radabaugh et al. 2017,1.137,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,19,cm,0.411,Radabaugh et al. 2017,0.256,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,15,cm,0.411,Radabaugh et al. 2017,0.382,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,14,cm,0.411,Radabaugh et al. 2017,0.393,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,33,cm,0.411,Radabaugh et al. 2017,7.016,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,24,cm,0.411,Radabaugh et al. 2017,0.617,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,35,cm,0.411,Radabaugh et al. 2017,3.147,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,17,cm,0.411,Radabaugh et al. 2017,0.709,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,43,cm,0.411,Radabaugh et al. 2017,3.411,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,43,cm,0.411,Radabaugh et al. 2017,11.146,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,83,cm,0.411,Radabaugh et al. 2017,37.52,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,124,cm,0.411,Radabaugh et al. 2017,24.306,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,62,cm,0.411,Radabaugh et al. 2017,9.918,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,108,cm,0.411,Radabaugh et al. 2017,20.48,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,85,cm,0.411,Radabaugh et al. 2017,13.365,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,62,cm,0.411,Radabaugh et al. 2017,12.661,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,63,cm,0.411,Radabaugh et al. 2017,13.997,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,111,cm,0.411,Radabaugh et al. 2017,25.671,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,77,cm,0.411,Radabaugh et al. 2017,30.065,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,129,cm,0.411,Radabaugh et al. 2017,19.827,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,72,cm,0.411,Radabaugh et al. 2017,6.759,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,68,cm,0.411,Radabaugh et al. 2017,13.282,g,yes
Dontis_et_al_2020,Cyperus,esculentus,1,106,cm,0.411,Radabaugh et al. 2017,24.815,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,4.5,cm,0.411,Radabaugh et al. 2017,0.0029,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5,cm,0.411,Radabaugh et al. 2017,0.0032,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6.5,cm,0.411,Radabaugh et al. 2017,0.0048,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6,cm,0.411,Radabaugh et al. 2017,0.0065,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5,cm,0.411,Radabaugh et al. 2017,0.0035,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,4.5,cm,0.411,Radabaugh et al. 2017,0.002,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6,cm,0.411,Radabaugh et al. 2017,0.003,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5,cm,0.411,Radabaugh et al. 2017,0.0021,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5.5,cm,0.411,Radabaugh et al. 2017,0.0033,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,4.5,cm,0.411,Radabaugh et al. 2017,0.0027,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5,cm,0.411,Radabaugh et al. 2017,0.0033,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,4.5,cm,0.411,Radabaugh et al. 2017,0.004,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,4.5,cm,0.411,Radabaugh et al. 2017,0.0033,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5.5,cm,0.411,Radabaugh et al. 2017,0.0048,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6.5,cm,0.411,Radabaugh et al. 2017,0.0046,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5,cm,0.411,Radabaugh et al. 2017,0.0028,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5.5,cm,0.411,Radabaugh et al. 2017,0.0046,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6,cm,0.411,Radabaugh et al. 2017,0.0034,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6,cm,0.411,Radabaugh et al. 2017,0.0056,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6.5,cm,0.411,Radabaugh et al. 2017,0.0038,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,7,cm,0.411,Radabaugh et al. 2017,0.0059,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6,cm,0.411,Radabaugh et al. 2017,0.004,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5.5,cm,0.411,Radabaugh et al. 2017,0.0043,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6.5,cm,0.411,Radabaugh et al. 2017,0.0047,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6,cm,0.411,Radabaugh et al. 2017,0.0068,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5.5,cm,0.411,Radabaugh et al. 2017,0.0032,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,4,cm,0.411,Radabaugh et al. 2017,0.0037,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,7,cm,0.411,Radabaugh et al. 2017,0.006,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,4.5,cm,0.411,Radabaugh et al. 2017,0.0039,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6.5,cm,0.411,Radabaugh et al. 2017,0.0064,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6.5,cm,0.411,Radabaugh et al. 2017,0.0051,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6,cm,0.411,Radabaugh et al. 2017,0.0039,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5.5,cm,0.411,Radabaugh et al. 2017,0.0044,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5.5,cm,0.411,Radabaugh et al. 2017,0.0051,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,4.5,cm,0.411,Radabaugh et al. 2017,0.0027,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5,cm,0.411,Radabaugh et al. 2017,0.0045,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,7.5,cm,0.411,Radabaugh et al. 2017,0.0056,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6,cm,0.411,Radabaugh et al. 2017,0.0029,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6,cm,0.411,Radabaugh et al. 2017,0.0035,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5.5,cm,0.411,Radabaugh et al. 2017,0.0031,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,3.5,cm,0.411,Radabaugh et al. 2017,0.003,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5,cm,0.411,Radabaugh et al. 2017,0.0032,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,4,cm,0.411,Radabaugh et al. 2017,0.0037,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5.5,cm,0.411,Radabaugh et al. 2017,0.0024,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5,cm,0.411,Radabaugh et al. 2017,0.0036,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,3.5,cm,0.411,Radabaugh et al. 2017,0.0026,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6,cm,0.411,Radabaugh et al. 2017,0.0041,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6,cm,0.411,Radabaugh et al. 2017,0.0033,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,4,cm,0.411,Radabaugh et al. 2017,0.0022,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5.5,cm,0.411,Radabaugh et al. 2017,0.004,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5,cm,0.411,Radabaugh et al. 2017,0.005,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6.5,cm,0.411,Radabaugh et al. 2017,0.0058,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5,cm,0.411,Radabaugh et al. 2017,0.0035,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5.5,cm,0.411,Radabaugh et al. 2017,0.0045,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5,cm,0.411,Radabaugh et al. 2017,0.0034,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,7,cm,0.411,Radabaugh et al. 2017,0.004,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,4,cm,0.411,Radabaugh et al. 2017,0.0038,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6.5,cm,0.411,Radabaugh et al. 2017,0.0045,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5,cm,0.411,Radabaugh et al. 2017,0.0049,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6,cm,0.411,Radabaugh et al. 2017,0.0042,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,6.5,cm,0.411,Radabaugh et al. 2017,0.0046,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,4.5,cm,0.411,Radabaugh et al. 2017,0.0032,g,yes
Dontis_et_al_2020,Schinus,terebinthifolius,1,5,cm,0.411,Radabaugh et al. 2017,0.0031,g,yes
Dontis_et_al_2020,Panicum,species,1,39,cm,0.411,Radabaugh et al. 2017,0.341,g,yes
Dontis_et_al_2020,Panicum,species,1,16,cm,0.411,Radabaugh et al. 2017,0.14,g,yes
Dontis_et_al_2020,Panicum,species,1,17,cm,0.411,Radabaugh et al. 2017,0.122,g,yes
Dontis_et_al_2020,Panicum,species,1,18.5,cm,0.411,Radabaugh et al. 2017,0.27,g,yes
Dontis_et_al_2020,Panicum,species,1,18,cm,0.411,Radabaugh et al. 2017,0.187,g,yes
Dontis_et_al_2020,Panicum,species,1,14,cm,0.411,Radabaugh et al. 2017,0.119,g,yes
Dontis_et_al_2020,Panicum,species,1,19.5,cm,0.411,Radabaugh et al. 2017,0.097,g,yes
Dontis_et_al_2020,Panicum,species,1,31,cm,0.411,Radabaugh et al. 2017,0.379,g,yes
Dontis_et_al_2020,Panicum,species,1,39,cm,0.411,Radabaugh et al. 2017,0.45,g,yes
Dontis_et_al_2020,Panicum,species,1,32,cm,0.411,Radabaugh et al. 2017,0.193,g,yes
Dontis_et_al_2020,Panicum,species,1,29,cm,0.411,Radabaugh et al. 2017,0.177,g,yes
Dontis_et_al_2020,Panicum,species,1,30,cm,0.411,Radabaugh et al. 2017,0.116,g,yes
Dontis_et_al_2020,Panicum,species,1,26,cm,0.411,Radabaugh et al. 2017,0.158,g,yes
Dontis_et_al_2020,Panicum,species,1,31,cm,0.411,Radabaugh et al. 2017,0.412,g,yes
Dontis_et_al_2020,Panicum,species,1,30,cm,0.411,Radabaugh et al. 2017,0.227,g,yes
Dontis_et_al_2020,Panicum,species,1,28,cm,0.411,Radabaugh et al. 2017,0.284,g,yes
Dontis_et_al_2020,Panicum,species,1,15.5,cm,0.411,Radabaugh et al. 2017,0.142,g,yes
Dontis_et_al_2020,Panicum,species,1,20.5,cm,0.411,Radabaugh et al. 2017,0.133,g,yes
Dontis_et_al_2020,Panicum,species,1,14.5,cm,0.411,Radabaugh et al. 2017,0.081,g,yes
Dontis_et_al_2020,Panicum,species,1,23.5,cm,0.411,Radabaugh et al. 2017,0.196,g,yes
Dontis_et_al_2020,Panicum,species,1,33,cm,0.411,Radabaugh et al. 2017,0.255,g,yes
Dontis_et_al_2020,Panicum,species,1,37,cm,0.411,Radabaugh et al. 2017,0.443,g,yes
Dontis_et_al_2020,Panicum,species,1,17,cm,0.411,Radabaugh et al. 2017,0.14,g,yes
Dontis_et_al_2020,Panicum,species,1,15.5,cm,0.411,Radabaugh et al. 2017,0.107,g,yes
Dontis_et_al_2020,Panicum,species,1,25,cm,0.411,Radabaugh et al. 2017,0.271,g,yes
Dontis_et_al_2020,Panicum,species,1,27,cm,0.411,Radabaugh et al. 2017,0.107,g,yes
Dontis_et_al_2020,Panicum,species,1,16.5,cm,0.411,Radabaugh et al. 2017,0.106,g,yes
