study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_carbon,c14_age,c14_material,c14_notes,delta_c13,depth_interval_notes
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,3.5,4.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,4.5,5.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,5.5,6.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,6.5,7.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,7.5,8.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,8.5,9.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,9.5,10.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,10.5,11.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,11.5,12.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,12.5,13.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,13.5,14.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,14.5,15.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,15.5,16.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,16.5,17.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,17.5,18.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
Johnson_et_al_2024_eelgrass,Head_of_Bay,Head_of_Bay_6,Sonshine_2012,18.5,19.5,NA,NA,NA,NA,NA,NA,NA,"Pu activity, depth analysis of 239+240Pu"
