"[Abbreviations: ID, Identification; cm, centimeter; dpm/g, disintegrations per minute per gram; ND, not detected; Tr, trace quantity, too low to quantify; --, no reported value; Lc, critical level]",,,,,,,,,,,
Core ID,"Depth
 (cm)","Cs-137 
(dpm/g)","Cs-137 Error 
(+/- dpm/g)","Pb-210 
(dpm/g)","Pb-210 Error 
(+/- dpm/g)","Ra-226 
(dpm/g)","Ra-226 Error 
(+/- dpm/g)","Th-234 
(dpm/g)","Th-234 Error 
(+/- dpm/g)","K-40 
(dpm/g)","K-40 Error 
(+/- dpm/g)"
14CCT01-GB60M,33-34,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,34-35,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,35-36,ND,--,1.37,0.29,1.55,0.07,5.05,0.38,13.33,0.9
14CCT01-GB60M,36-37,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,37-38,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,38-39,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,39-40,ND,--,1.31,0.26,1.38,0.06,4.92,0.34,13.26,0.83
14CCT01-GB60M,40-41,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,41-42,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,42-43,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,43-44,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,44-45,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,45-46,ND,--,1.44,0.27,1.57,0.06,8.87,0.37,18.88,0.86
14CCT01-GB60M,46-47,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,47-48,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,48-49,--,--,--,--,--,--,--,--,--,--
14CCT01-GB60M,49-50,ND,--,1.1,0.27,1.39,0.07,8.15,0.41,17.62,0.96
Lc:Cs-137 = 0.05 dpm/g; Lc:Pb-210 = 0.29 dpm/g; Lc:Ra-226 = 0.10 dpm/g; Lc:Th-234 = 0.31 dpm/g; Lc:K-40 = 0.57 dpm/g,,,,,,,,,,,
,,,,,,,,,,,
14CCT01-GB64M,0-1,0.12,0.06,7.65,0.31,1.34,0.09,4.68,0.32,11.97,1.21
14CCT01-GB64M,2-Jan,0.16,0.09,6.15,0.36,1.51,0.12,5.6,0.46,11.58,1.64
14CCT01-GB64M,3-Feb,0.19,0.08,6.36,0.36,1.61,0.13,5.65,0.47,12.31,1.87
14CCT01-GB64M,4-Mar,0.23,0.12,6.11,0.47,1.35,0.16,5.53,0.52,15.67,2.32
14CCT01-GB64M,5-Apr,0.27,0.09,6.97,0.39,1.77,0.13,6.15,0.47,12.84,1.76
14CCT01-GB64M,6-May,0.48,0.12,7.19,0.5,1.7,0.17,6.51,0.64,16.03,2.53
14CCT01-GB64M,7-Jun,0.37,0.11,5.76,0.48,1.41,0.17,6.04,0.57,14.99,2.26
14CCT01-GB64M,8-Jul,0.54,0.12,6.17,0.45,1.48,0.15,8.16,0.6,18.63,2.2
14CCT01-GB64M,9-Aug,0.77,0.22,5.23,0.7,1.43,0.23,7.27,0.82,18.22,3.72
14CCT01-GB64M,10-Sep,0.5,0.15,4.22,0.5,1.18,0.18,6.26,0.64,18.74,2.69
14CCT01-GB64M,11-Oct,0.47,0.1,4.48,0.38,1.43,0.13,5.61,0.48,14.93,1.9
14CCT01-GB64M,12-Nov,0.65,0.11,3.65,0.38,1.37,0.13,5.64,0.46,14.6,1.86
14CCT01-GB64M,13-Dec,1.77,0.16,3.66,0.37,1.46,0.15,8.37,0.58,17.77,2.26
14CCT01-GB64M,13-14,1.73,0.24,4.87,0.62,1.9,0.26,9.7,0.83,15.37,3.21
14CCT01-GB64M,14-15,0.7,0.11,3.79,0.38,1.46,0.14,9.72,0.58,15.05,1.93
14CCT01-GB64M,15-16,0.29,0.12,2.58,0.39,1.43,0.16,6.88,0.67,14.53,2.38
14CCT01-GB64M,16-17,ND,--,2.5,0.39,1.63,0.16,5.66,0.54,10.03,2.15
14CCT01-GB64M,17-18,ND,--,2.14,0.26,1.47,0.1,4.44,0.34,7.05,1.17
14CCT01-GB64M,18-19,ND,--,1.88,0.22,1.65,0.09,3.99,0.29,7.7,1.14
14CCT01-GB64M,19-20,ND,--,2.1,0.35,1.74,0.15,4.82,0.5,9.71,1.84
14CCT01-GB64M,20-21,ND,--,1.66,0.18,1.37,0.08,2.82,0.25,5.57,0.78
14CCT01-GB64M,21-22,ND,--,2.13,0.22,1.69,0.1,4.7,0.34,7.96,1.15
14CCT01-GB64M,22-23,0.26,0.11,2.05,0.37,1.55,0.17,6.18,0.56,10.12,2.06
14CCT01-GB64M,23-24,ND,--,2.13,0.42,1.86,0.18,6.46,0.58,14.25,2.43
14CCT01-GB64M,24-25,ND,--,1.61,0.6,1.69,0.25,5.74,0.79,12.51,3.5
14CCT01-GB64M,25-26,ND,--,1.51,0.34,1.58,0.15,5.68,0.52,10.2,1.87
14CCT01-GB64M,26-27,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,27-28,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,28-29,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,29-30,ND,--,1.73,0.34,1.55,0.15,5,0.51,8.94,1.85
14CCT01-GB64M,30-31,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,31-32,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,32-33,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,33-34,ND,--,1.76,0.3,1.59,0.14,5.04,0.49,8.81,1.51
14CCT01-GB64M,34-35,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,35-36,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,36-37,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,37-38,ND,--,1.68,0.33,1.61,0.15,4.58,0.47,9.62,1.63
14CCT01-GB64M,38-39,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,39-40,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,40-41,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,41-42,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,42-43,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,43-44,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,44-45,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,45-46,ND,--,1.7,0.26,1.67,0.11,4.62,0.39,10.01,1.42
14CCT01-GB64M,46-47,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,47-48,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,48-49,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,49-50,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,50-51,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,51-52,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,52-53,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,53-54,ND,--,1.51,0.31,1.58,0.13,5.9,0.44,8.43,1.46
14CCT01-GB64M,54-55,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,55-56,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,56-57,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,57-58,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,58-59,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,59-60,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,60-61,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,61-62,ND,--,1.93,0.31,1.64,0.13,5.52,0.45,10.14,1.59
14CCT01-GB64M,62-63,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,63-64,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,64-65,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,65-66,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,66-67,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,67-68,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,68-69,--,--,--,--,--,--,--,--,--,--
14CCT01-GB64M,69-70,ND,--,1.72,0.25,1.68,0.1,5.82,0.37,10.28,1.31
Lc:Cs-137 = 0.15 dpm/g; Lc:Pb-210 = 0.45 dpm/g; Lc:Ra-226 = 0.32 dpm/g; Lc:Th-234 = 0.49 dpm/g; Lc:K-40 = 2.37 dpm/g,,,,,,,,,,,
