study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,age
Fourqurean_2012,Puerto_Galera,Kamp-Nielsen_et_al_2002_93,0,1,NA,0.025660663631680385,0.07888333,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_94,1,9,NA,0.02028505220736347,0.11771000000000001,NA
Fourqurean_2012,Puerto_Galera,Kamp-Nielsen_et_al_2002_95,0,1,NA,0.013652833784732879,0.1116007,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_96,1,9,NA,0.01553352742434072,0.11430509999999999,NA
Fourqurean_2012,Puerto_Galera,Kamp-Nielsen_et_al_2002_97,0,1,NA,0.014739756244099018,0.08452981,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_98,1,9,NA,0.014806415343915585,0.07617900999999999,NA
Fourqurean_2012,Puerto_Galera,Kamp-Nielsen_et_al_2002_99,0,1,NA,0.012204364417843346,0.1081024,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_100,1,9,NA,0.018955910865143602,0.1104054,NA
Fourqurean_2012,Puerto_Galera,Kamp-Nielsen_et_al_2002_101,0,1,NA,0.013173896483637251,0.108988,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_102,1,9,NA,0.016282017591486654,0.0921175,NA
Fourqurean_2012,Puerto_Galera,Kamp-Nielsen_et_al_2002_103,0,1,NA,0.013711446387993407,0.1134776,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_104,1,9,NA,0.01595992184107678,0.11571,NA
Fourqurean_2012,Puerto_Galera,Kamp-Nielsen_et_al_2002_105,0,1,NA,0.016505866334394752,0.11522360000000001,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_106,1,9,NA,0.01387059382723904,0.11456469999999999,NA
Fourqurean_2012,El_Nido,Kamp-Nielsen_et_al_2002_107,0,1,NA,0.021400522106326755,0.11698610000000001,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_108,1,9,NA,0.018736810560655716,0.1117653,NA
Fourqurean_2012,El_Nido,Kamp-Nielsen_et_al_2002_109,0,1,NA,NA,NA,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_110,1,9,NA,NA,NA,NA
Fourqurean_2012,El_Nido,Kamp-Nielsen_et_al_2002_111,0,1,NA,NA,NA,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_112,1,9,NA,NA,NA,NA
Fourqurean_2012,El_Nido,Kamp-Nielsen_et_al_2002_113,0,1,NA,NA,NA,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_114,1,9,NA,NA,NA,NA
Fourqurean_2012,El_Nido,Kamp-Nielsen_et_al_2002_115,0,1,NA,NA,NA,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_116,1,9,NA,NA,NA,NA
Fourqurean_2012,El_Nido,Kamp-Nielsen_et_al_2002_117,0,1,NA,NA,NA,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_118,1,9,NA,NA,NA,NA
Fourqurean_2012,El_Nido,Kamp-Nielsen_et_al_2002_119,0,1,NA,NA,NA,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_120,1,9,NA,NA,NA,NA
Fourqurean_2012,El_Nido,Kamp-Nielsen_et_al_2002_121,0,1,NA,0.018862026316049604,0.1141565,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_122,1,9,NA,0.017593600893116512,0.1169774,NA
Fourqurean_2012,El_Nido,Kamp-Nielsen_et_al_2002_123,0,1,NA,0.01989229786934509,0.10676640000000001,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_124,1,9,NA,0.02070082066033564,0.09476148999999999,NA
Fourqurean_2012,El_Nido,Kamp-Nielsen_et_al_2002_125,0,1,NA,0.01947582823277941,0.1114163,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_126,1,9,NA,0.009771432862722043,0.1069274,NA
Fourqurean_2012,El_Nido,Kamp-Nielsen_et_al_2002_127,0,1,NA,0.01185230679169839,0.07783329,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_128,1,9,NA,0.012253538318112015,0.0866812,NA
Fourqurean_2012,El_Nido,Kamp-Nielsen_et_al_2002_129,0,1,NA,0.007127781468799495,0.1145231,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_130,1,9,NA,0.016642358906316202,0.06347965,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_131,0,1,NA,0.016143407707910482,0.0902724,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_132,1,9,NA,NA,NA,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_133,0,1,NA,0.012750501452807081,0.023817810000000002,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_134,1,9,NA,0.008897225094971935,0.01670528,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_135,0,1,NA,0.02619522216025234,0.03460972,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_136,1,9,NA,0.006131145048047654,0.0046437990000000005,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_137,0,1,NA,0.012893980518769896,0.07932913,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_138,1,9,NA,0.010679863718537004,0.11453849999999999,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_139,0,1,NA,0.010555521826499756,0.1045701,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_140,1,9,NA,0.03829882076252983,0.05842402,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_141,0,1,NA,0.03945926306633964,0.0422881,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_142,1,9,NA,0.048416386820672994,0.05531,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_143,0,1,NA,0.012940232836843075,0.03155555,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_144,1,9,NA,0.0700708327318351,0.08759431,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_145,0,1,NA,0.009681013105946712,0.10598,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_146,1,9,NA,0.009590673101899906,0.09835,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_147,0,1,NA,0.010969911593420721,0.101134,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_148,1,9,NA,0.002263987236982014,0.005883393999999999,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_149,0,1,NA,0.0011034129820553648,0.006371272,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_150,1,9,NA,0.001196066833985568,0.0041968660000000005,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_151,0,1,NA,2.1815831238041457e-4,0.0068862540000000005,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_152,1,9,NA,1.313257212584784e-4,0.0020599999999999998,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_153,0,1,NA,0.0021292523286063126,0.0034999999999999996,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_154,1,9,NA,7.957092225323467e-4,0.0030399999999999997,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_155,0,1,NA,0.001609886848451126,0.00895,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_156,1,9,NA,9.038421236466501e-4,0.00241,NA
Fourqurean_2012,Trang,Kamp-Nielsen_et_al_2002_157,0,1,NA,0.0013785727093415497,0.00602,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_158,1,9,NA,0.004639036039947768,0.00886,NA
Fourqurean_2012,Phuket,Kamp-Nielsen_et_al_2002_159,0,1,NA,0.007316623176238966,0.017761990000000002,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_160,1,9,NA,NA,0.0032500000000000003,NA
Fourqurean_2012,Phuket,Kamp-Nielsen_et_al_2002_161,0,1,NA,0.0015528578181415562,0.00315,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_162,1,9,NA,0.01639199006164672,0.022037789999999998,NA
Fourqurean_2012,Phuket,Kamp-Nielsen_et_al_2002_163,0,1,NA,0.032772877249280914,0.04862392,NA
Fourqurean_2012,NA,Kamp-Nielsen_et_al_2002_164,1,9,NA,0.00845708677858508,0.009801201,NA
Fourqurean_2012,Villajoyosa,Mateo_unpublished_1,0,10,0.2625412026726058,0.2702540660891986,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_2,10,20,0.15155826859045504,0.1855651712009146,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_3,20,30,0.17164267569856054,0.21998044859699972,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_4,30,40,0.2981299019607843,0.14776724120155915,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_5,40,50,0.2441940594059406,0.2276561191959904,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_6,50,60,0.28800602409638554,0.12249321268498484,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_7,60,70,0.5019083850931677,0.052856815648865074,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_8,70,80,0.5386740740740741,0.036096985112790504,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_9,80,90,0.6183881578947369,0.0494308428838163,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_10,90,100,0.5472560083594566,0.058493120661595024,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_11,100,110,0.6665446601941748,0.0011987796816140216,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_12,110,120,0.49830240856378233,0.018390642717905484,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_13,120,130,0.659835390946502,0.04969289689483683,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_14,130,140,0.8107311827956989,0.026252263826412322,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_15,140,150,0.8147109283196239,0.016617959345175112,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_16,150,160,0.7819773218142548,0.0451,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_17,160,170,1.0210078651685393,0.03924428836953016,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_18,170,180,0.836949504950495,0.014224500608958923,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_19,180,190,0.8385198329853862,0.01618588741363115,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_20,190,200,1.0169499284692418,0.03361904118948421,NA,1527 yBP
Fourqurean_2012,Villajoyosa,Mateo_unpublished_21,0,10,0.25203955456570154,0.14185655155349677,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_22,10,20,0.16065176470588236,0.1892764746249329,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_23,20,30,0.23,0.23097947102684974,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_24,30,40,0.28024210784313724,0.2513362814629547,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_25,40,50,0.26617152475247524,0.07780000000000001,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_26,50,60,0.259205421686747,0.0471,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_27,60,70,0.5169656366459627,0.05708536090077429,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_28,70,80,0.36,0.03320922630376726,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_29,80,90,0.6122042763157896,0.045476375453111,NA,NA
Fourqurean_2012,NA,Mateo_unpublished_30,90,100,0.5363108881922675,0.053813671008667414,NA,NA
