study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,delta_c13
Fu_et_al_2023,S1,S1_Pb,single set of methods,14,15,NA,NA,53.877460341288881,2.8686080068184414,61.393566459363022,2.810194329274826,NA,6.2926564870861021,0.8855740051110532,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,16,17,NA,NA,59.961967700047545,3.2245288319857566,67.478073818121686,3.1726749691408584,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,19,20,NA,NA,54.227441187166399,2.666047984998744,61.74354730524054,2.6030928008469814,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,22,23,NA,NA,52.064895463979482,2.789187516510052,59.581001582053624,2.729074435364677,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,24,25,NA,NA,49.626655869425385,2.53235653073816,57.142761987499526,2.4659906468350052,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,25,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,26,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,27,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,29,30,NA,NA,48.025909352215898,2.6036055014382544,55.542015470290039,2.539102573474546,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,30,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,32,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,33,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,34,35,NA,NA,44.00664515065754,3.011018748304681,51.522751268731682,2.955421150047452,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,35,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,36,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,37,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,38,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,39,40,NA,NA,54.111356508715467,4.147299999481974,61.627462626789608,4.107113044123414,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,40,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,41,42,NA,NA,44.741688459413801,2.065602132343776,52.257794577487942,1.9836815371043492,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,42,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,43,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,44,45,NA,NA,50.419564032520533,2.329676988939421,57.935670150594675,2.2573602158936366,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,45,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,46,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,47,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,48,49,NA,NA,38.661672905535085,2.2706286779365725,46.177779023609226,2.1963685630088374,NA,NA,NA,NA,NA
Fu_et_al_2023,S1,S1_Pb,single set of methods,49,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,0,0.5,NA,NA,43.327654672485323,2.4776002897358276,50.23287025845837,2.3881605659530036,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,0.5,1,NA,NA,38.353569607075087,2.4776587778725854,45.258785193048134,2.388221244492015,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,1,2,NA,NA,31.62275746136007,2.097940736212752,38.52797304733312,1.9915227906641735,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,2,3,NA,NA,22.990605166363199,1.652173360514123,29.895820752336249,1.514755592914726,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,3,4,NA,NA,17.587223899562389,1.470027471594166,24.492439485535439,1.313692681077066,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,4,5,NA,NA,19.71595199124177,1.5391969292987147,26.62116757721482,1.390659872232066,NA,4.8564850766994976,0.7832625842715177,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,5,6,NA,NA,17.364815801441608,1.6478405955326358,24.270031387414658,1.5100285829610198,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,6,7,NA,NA,17.213894155675707,1.8538468927048313,24.119109741648757,1.732499926310322,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,7,8,NA,NA,15.209174597892041,1.780794670068924,22.11439018386509,1.654097140442423,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,8,9,NA,NA,13.546603459374911,1.5255286425482677,20.45181904534796,1.3755163875101866,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,9,10,NA,NA,13.059046030054969,1.4122600088220578,19.964261616028018,1.248713748459587,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,11,12,NA,NA,14.923173627106458,1.575558011876313,21.828389213079507,1.4308007345055263,NA,4.7328722536389742,0.7539341755980578,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,14,15,NA,NA,14.989730246287923,1.5959105642423081,21.894945832260973,1.453182102193017,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,19,20,NA,NA,17.095592456893389,1.580875094671723,24.000808042866439,1.436653666694671,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,22,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,24,25,NA,NA,18.036401855092134,1.4560471656102734,24.941617441065183,1.298029676685254,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,25,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,26,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,27,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,29,30,NA,NA,18.669623216491907,1.5105090619401296,25.574838802464956,1.358839695945465,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,30,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,32,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,33,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,34,35,NA,NA,15.868166965829765,1.5948517219599174,22.773382551802815,1.4520191831075882,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,35,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,36,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,37,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,38,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,39,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,40,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,41,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,42,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,43,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,44,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,45,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,46,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,47,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,48,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S2,S2_Pb,single set of methods,49,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,0,0.5,NA,NA,17.936960573623953,1.5605901304765477,23.860862374912763,1.4943434751836409,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,1,2,NA,NA,13.883881758315969,1.259858113276765,19.807783559604779,1.176802163522995,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,2,3,NA,NA,20.79242597064728,1.3139720875999896,26.71632777193609,1.234562073560899,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,3,4,NA,NA,20.629478124604322,1.704016870651357,26.553379925893132,1.6435614871210495,NA,5.5775034872803104,0.7575137618332101,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,4,5,NA,NA,29.088443670596842,2.0812288376237222,35.012345471885652,2.032027150664996,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,5,6,NA,NA,17.037066425911075,1.9996513539200547,22.960968227199885,1.9483907215231293,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,6,7,NA,NA,20.291910225934075,1.3796046374224873,26.215812027222885,1.3041970027878245,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,7,8,NA,NA,17.374894293010669,1.4445645148725057,23.29879609429948,1.3727299458057836,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,8,9,NA,NA,19.646011180962589,1.6549060067975352,25.569912982251399,1.592587441184212,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,9,10,NA,NA,13.883316004201806,1.255792121349509,19.807217805490616,1.1724481730663459,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,11,12,NA,NA,13.981691728809064,1.184307703000095,19.905593530097875,1.095538954975346,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,13,14,NA,NA,NA,NA,NA,NA,NA,5.58362719883152,0.6781052255052475,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,14,15,NA,NA,10.084014234800051,1.1904110386606133,16.007916036088861,1.1021339789010012,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,16,17,NA,NA,10.517456111940216,1.2781785956534797,16.441357913229027,1.1963951641785475,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,19,20,NA,NA,11.943418348287071,1.5407385566713454,17.867320149575882,1.4735997307602946,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,22,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,24,25,NA,NA,9.7320685013281807,1.2369725537654435,15.655970302616991,1.1522681828689514,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,25,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,26,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,27,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,29,30,NA,NA,7.6329696409231929,1.125050851080373,13.556871442212003,1.0311936210042145,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,30,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,32,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,33,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,34,35,NA,NA,7.223628792276493,1.265970813542661,13.147530593565303,1.183343976713863,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,35,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,36,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,37,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,38,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,39,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S3,S3_Pb,single set of methods,40,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,0,0.5,NA,NA,70.396838258601591,4.1890793660311605,74.029598054291256,4.178925551292995,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,0.5,1,NA,NA,66.776956056468748,3.5231248140043903,70.409715852158413,3.5110456111242563,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,1,2,NA,NA,68.040535616690292,3.7934078525893598,71.673295412379957,3.782191952350918,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,2,3,NA,NA,54.45525709630877,2.485565309286249,58.088016891998443,2.4684140120872513,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,3,4,NA,NA,53.018153603570106,2.2041438055494584,56.650913399259778,2.1847843701114953,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,4,5,NA,NA,40.688793803400472,2.5214172585093357,44.321553599090144,2.5045114932557544,NA,3.524772628430263,0.613658461930389,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,5,6,NA,NA,32.960457084298689,2.2803988591814055,36.593216879988361,2.261692239297224,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,6,7,NA,NA,19.395317238007848,1.3094893820614042,23.028077033697517,1.2766343525352093,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,7,8,NA,NA,22.953785530650574,1.8129199044293998,26.586545326340243,1.7893326711983266,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,8,9,NA,NA,19.060943496036096,2.2422569413556723,22.693703291725765,2.223229412228781,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,9,10,NA,NA,16.113027999907608,1.098033598051258,19.745787795597277,1.0586362032307541,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,10,11,NA,NA,9.8702385830489838,1.024862601197162,13.502998378738653,0.9825355869758856,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,11,12,NA,NA,13.211125122810071,0.9901891528646325,16.843884918499739,0.946312520678139,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,12,13,NA,NA,9.5590265921524811,1.0025592425256735,13.191786387842152,0.9592485929700846,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,14,15,NA,NA,12.738429751539599,0.8841956651667595,16.371189547229267,0.8347663161874244,NA,4.0706534208455238,0.6242252792396502,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,16,17,NA,NA,11.825304561521982,1.0021180496278697,15.458064357211653,0.9587874705748924,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,18,19,NA,NA,8.3697669471447931,1.163584570986362,12.002526742834464,1.126482082493526,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,19,20,NA,NA,5.6073246406633723,0.9732743674342506,9.2400844363530421,0.9285988491517612,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,22,23,NA,NA,3.1093535007746596,0.8301852627766148,6.7421132964643293,0.7773290158439422,NA,NA,NA,NA,NA
Fu_et_al_2023,S5,S5_Pb,single set of methods,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,0,1,NA,NA,51.258892498726368,3.075176841551389,54.996031414858422,3.04524401628993,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,1,2,NA,NA,46.229219073283964,2.9593504907763997,49.966357989416018,2.928233911284098,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,2,3,NA,NA,46.123885120307634,2.8052646056538735,49.861024036439687,2.77241916377557,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,3,4,NA,NA,39.796915439349696,2.6495441806626747,43.53405435548175,2.614743367372617,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,4,5,NA,NA,37.185457348957314,2.383300163017347,40.922596265089368,2.344550741394641,NA,4.5125258305302829,0.6260060257969909,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,5,6,NA,NA,32.811027611145889,1.8904149149145855,36.548166527277942,1.8413220963392494,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,6,7,NA,NA,28.519201930356743,1.7831651480090238,32.256340846488797,1.7310333494793486,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,7,8,NA,NA,24.618297590442982,1.7020593606264867,28.355436506575035,1.6473629166130617,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,9,10,NA,NA,23.161648282075802,1.3648472275361463,26.898787198207856,1.2959963219271704,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,11,12,NA,NA,21.640867511859703,1.354797913243799,25.378006427991757,1.2854088445570153,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,12,13,NA,NA,24.626770652578671,2.2627758092267465,28.750213573643894,2.1948538315674155,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,13,14,NA,NA,16.955978052888923,1.470369608173849,21.079420973954146,1.3635306244326626,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,14,15,NA,NA,16.676120100167914,1.2393910827153378,20.799563021233137,1.1105490691719595,NA,3.7343600116001636,0.5588863259789376,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,16,17,NA,NA,17.799872918410706,1.4167064163460348,21.53701183454276,1.350501974101361,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,18,19,NA,NA,16.277351503238439,1.5699440380704053,20.014490419370492,1.5104710505694767,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,19,20,NA,NA,11.010436015881686,1.28485612977805,15.133878936946909,1.1610703050860605,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,21,22,NA,NA,13.352280637529574,1.3529372881707553,17.089419553661628,1.2834476294958381,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,22,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,23,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,24,25,NA,NA,14.376382461921338,1.3560724159544666,18.113521378053392,1.2867520776156658,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,25,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,26,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,27,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,28,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,29,30,NA,NA,15.490522142026631,1.4012021848659946,19.227661058158684,1.3342286441269673,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,30,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,31,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fu_et_al_2023,S6,S6_Pb,single set of methods,32,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
