study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,excess_pb210_activity,excess_pb210_activity_se,k40_activity,k40_activity_se,c14_age,c14_age_sd,delta_c13,pb210_age,marker_age,marker_age_se,marker_type,marker_notes
Shaw_et_al_2020,GCREW,CB109,490,495,CB109_C_490,0.119635193,0.5875710000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,495,500,CB109_C_495,0.093669528,0.674312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,500,505,CB109_C_500,0.169742489,0.624796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,505,510,CB109_C_505,0.156545064,0.5582050000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,506,506,OS-127728,NA,NA,NA,NA,NA,NA,NA,NA,2890,30,-13.46,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,510,515,CB109_C_510,0.138412017,0.689614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,513,513,OS-130625,NA,NA,NA,NA,NA,NA,NA,NA,3530,20,-17.75,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,515,520,CB109_C_515,0.124463519,0.7340430000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,520,525,CB109_C_520,0.120600858,0.7833110000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,522,522,OS-130626,NA,NA,NA,NA,NA,NA,NA,NA,2850,15,-15.88,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,525,530,CB109_C_525,0.092381974,0.784828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,530,535,CB109_C_530,0.098283262,0.861629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,534,534,OS-124300,NA,NA,NA,NA,NA,NA,NA,NA,3210,20,-25.02,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,535,540,CB109_C_535,0.103969957,0.772425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,540,545,CB109_C_540,0.113733906,0.761765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,545,545,OS-130632,NA,NA,NA,NA,NA,NA,NA,NA,3010,120,-15.15,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,545,550,CB109_C_545,0.135407725,0.800693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,550,555,CB109_C_550,0.118454936,0.708402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,555,560,CB109_C_555,0.145708155,0.641361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,560,565,CB109_C_560,0.190987124,0.606688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,565,570,CB109_C_565,0.181437768,0.43703699999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,570,575,CB109_C_570,0.206974249,0.55431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,575,575,OS-130556,NA,NA,NA,NA,NA,NA,NA,NA,3560,20,-27.63,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,575,580,CB109_C_575,0.284656652,0.36503399999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,580,585,CB109_C_580,0.470708155,0.21741599999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,585,590,CB109_C_585,0.708476395,0.070037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,590,595,CB109_C_590,1.047532189,0.042145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,593,593,OS-115933,NA,NA,NA,NA,NA,NA,NA,NA,3680,20,-26.22,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,595,600,CB109_C_595,1.211373391,0.021248999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,600,605,CB109_C_600,1.404184549,0.017324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,605,610,CB109_C_605,1.385729614,0.01637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaw_et_al_2020,GCREW,CB109,610,615,CB109_C_610,1.115665236,0.016184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
