study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,delta_c13,be7_activity,be7_activity_se,be7_unit,depth_interval_notes,fraction_nitrogen
Tully_et_al_2024,S,S_24,core,28,30,NA,2.25,0.06,NA,0,0,becquerelsPerKilogram,0,5,19.27,1.15,becquerelsPerKilogram,19.27,5.13,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_27,core,0,2,NA,1.64,0.02,NA,0.33,0.33,becquerelsPerKilogram,12.28,1.72,27.02,1.27,becquerelsPerKilogram,14.73,2.14,becquerelsPerKilogram,NA,7.33,50.17,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_27,core,2,4,NA,2.56,0.02,NA,1,0.5,becquerelsPerKilogram,8.67,1.64,23.4,1.15,becquerelsPerKilogram,14.73,2,becquerelsPerKilogram,NA,15.33,95.67,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_27,core,4,6,NA,NA,NA,NA,1.5,0.33,becquerelsPerKilogram,8.98,1.67,23.71,1.2,becquerelsPerKilogram,14.73,2.05,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_27,core,6,8,NA,2.63,0.02,NA,1,0.67,becquerelsPerKilogram,4.93,1.58,19.66,1.06,becquerelsPerKilogram,14.73,1.9,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_27,core,8,10,NA,NA,NA,NA,1.17,0.33,becquerelsPerKilogram,6.28,1.59,21.01,1.08,becquerelsPerKilogram,14.73,1.92,becquerelsPerKilogram,NA,21.33,78.5,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_27,core,10,12,NA,2.61,0.03,NA,1.67,0.67,becquerelsPerKilogram,4.39,1.55,19.13,1.03,becquerelsPerKilogram,14.73,1.86,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_27,core,12,14,NA,NA,NA,NA,0.67,0.33,becquerelsPerKilogram,0,1.44,14.21,0.85,becquerelsPerKilogram,14.73,1.68,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_27,core,14,16,NA,NA,NA,NA,1,0.33,becquerelsPerKilogram,1.5,1.46,16.23,0.88,becquerelsPerKilogram,14.73,1.7,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_27,core,16,18,NA,2.63,0.02,NA,0.83,0.67,becquerelsPerKilogram,0.25,1.44,14.98,0.84,becquerelsPerKilogram,14.73,1.67,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_27,core,18,20,NA,NA,NA,NA,0,0,becquerelsPerKilogram,0,1.42,13.51,0.82,becquerelsPerKilogram,14.73,1.64,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_30,core,0,2,NA,1.42,0.06,NA,3,0.67,becquerelsPerKilogram,70.06,4.07,82.99,4.02,becquerelsPerKilogram,12.93,5.72,becquerelsPerKilogram,NA,37.5,6,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_30,core,2,4,NA,1.91,0.03,NA,2.33,0.67,becquerelsPerKilogram,52.96,3.1,65.88,3.04,becquerelsPerKilogram,12.93,4.34,becquerelsPerKilogram,NA,8.33,4.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_30,core,4,6,NA,NA,0.04,NA,0.67,0.67,becquerelsPerKilogram,53.69,3.26,66.62,3.2,becquerelsPerKilogram,12.93,4.57,becquerelsPerKilogram,NA,2.5,4.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_30,core,6,8,NA,1.79,0.05,NA,4.83,0.67,becquerelsPerKilogram,89.62,4.71,102.55,4.67,becquerelsPerKilogram,12.93,6.63,becquerelsPerKilogram,NA,1,5,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_30,core,8,10,NA,NA,0.14,NA,4.83,0.67,becquerelsPerKilogram,91.44,4.94,104.37,4.9,becquerelsPerKilogram,12.93,6.95,becquerelsPerKilogram,NA,2.83,4.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_30,core,10,12,NA,2.39,0.02,NA,7.17,0.67,becquerelsPerKilogram,69.88,3.74,82.8,3.69,becquerelsPerKilogram,12.93,5.25,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_30,core,12,14,NA,NA,0.03,NA,0.5,0.5,becquerelsPerKilogram,12.46,1.48,25.38,1.35,becquerelsPerKilogram,12.93,2,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_30,core,14,16,NA,NA,NA,NA,1.5,0.5,becquerelsPerKilogram,8.06,1.36,20.98,1.22,becquerelsPerKilogram,12.93,1.83,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_30,core,16,18,NA,2.47,0.04,NA,1.5,0.5,becquerelsPerKilogram,0.64,1.08,13.56,0.88,becquerelsPerKilogram,12.93,1.39,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_30,core,18,20,NA,NA,0.08,NA,1,0.67,becquerelsPerKilogram,0,1.06,12.33,0.86,becquerelsPerKilogram,12.93,1.37,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_30,core,20,22,NA,NA,NA,NA,0,0,becquerelsPerKilogram,0,1.06,12.88,0.86,becquerelsPerKilogram,12.93,1.36,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,0,2,NA,1.35,0.11,NA,5.17,0.83,becquerelsPerKilogram,148.88,7.49,164.26,7.44,becquerelsPerKilogram,15.38,10.55,becquerelsPerKilogram,NA,39,7.17,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,2,4,NA,1.75,NA,NA,5.5,0.83,becquerelsPerKilogram,159.98,7.81,175.36,7.75,becquerelsPerKilogram,15.38,11,becquerelsPerKilogram,NA,16.33,6.17,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,4,6,NA,1.94,0.1,NA,4.67,0.83,becquerelsPerKilogram,198.83,9.18,214.21,9.14,becquerelsPerKilogram,15.38,12.95,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,6,8,NA,NA,NA,NA,7.67,0.83,becquerelsPerKilogram,142.27,7.18,157.65,7.12,becquerelsPerKilogram,15.38,10.11,becquerelsPerKilogram,NA,1.17,5.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,8,10,NA,2.43,0.07,NA,5.33,0.83,becquerelsPerKilogram,104.23,5.54,119.6,5.47,becquerelsPerKilogram,15.38,7.78,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,10,12,NA,NA,NA,NA,6.17,0.83,becquerelsPerKilogram,101.61,5.46,116.98,5.38,becquerelsPerKilogram,15.38,7.67,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,12,14,NA,2.37,0.08,NA,9.67,0.83,becquerelsPerKilogram,88.96,4.86,104.33,4.77,becquerelsPerKilogram,15.38,6.81,becquerelsPerKilogram,NA,6.33,6.67,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,14,16,NA,NA,NA,NA,8.83,0.85,becquerelsPerKilogram,80.43,4.51,95.81,4.42,becquerelsPerKilogram,15.38,6.32,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,16,18,NA,NA,0.1,NA,10,1,becquerelsPerKilogram,82.08,4.59,97.46,4.5,becquerelsPerKilogram,15.38,6.43,becquerelsPerKilogram,NA,3.33,8.33,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,18,20,NA,2.43,NA,NA,9.67,0.83,becquerelsPerKilogram,84.45,4.71,99.82,4.62,becquerelsPerKilogram,15.38,6.59,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,20,22,NA,NA,0.09,NA,9.17,0.83,becquerelsPerKilogram,86.79,4.81,102.17,4.73,becquerelsPerKilogram,15.38,6.75,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,22,24,NA,NA,NA,NA,8.5,0.83,becquerelsPerKilogram,66.89,3.97,82.26,3.86,becquerelsPerKilogram,15.38,5.54,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,24,26,NA,1.44,0.11,NA,5.33,0.83,becquerelsPerKilogram,57.77,3.58,73.15,3.46,becquerelsPerKilogram,15.38,4.98,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,26,28,NA,NA,NA,NA,3.67,1,becquerelsPerKilogram,22.63,2.22,38.01,2.03,becquerelsPerKilogram,15.38,3.01,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,28,30,NA,NA,0.11,NA,2.5,0.67,becquerelsPerKilogram,16.82,1.89,32.19,1.66,becquerelsPerKilogram,15.38,2.51,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,30,32,NA,1.85,NA,NA,3.33,0.83,becquerelsPerKilogram,10.61,1.6,25.98,1.32,becquerelsPerKilogram,15.38,2.07,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,34,36,NA,NA,0.11,NA,2.67,0.67,becquerelsPerKilogram,13.86,1.69,29.24,1.43,becquerelsPerKilogram,15.38,2.22,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,36,38,NA,NA,NA,NA,2.5,0.67,becquerelsPerKilogram,4.72,1.41,20.09,1.08,becquerelsPerKilogram,15.38,1.77,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,40,42,NA,NA,0.09,NA,2.5,0.83,becquerelsPerKilogram,6.22,1.46,21.6,1.15,becquerelsPerKilogram,15.38,1.86,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,42,44,NA,NA,NA,NA,1.83,0.5,becquerelsPerKilogram,7.89,1.51,23.26,1.21,becquerelsPerKilogram,15.38,1.93,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,46,48,NA,NA,0.11,NA,0.67,0.5,becquerelsPerKilogram,5.97,1.46,21.35,1.15,becquerelsPerKilogram,15.38,1.86,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,48,50,NA,2.23,NA,NA,0.67,0.5,becquerelsPerKilogram,13.26,1.65,28.64,1.38,becquerelsPerKilogram,15.38,2.15,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_31,core,52,54,NA,NA,0.08,NA,0.83,0.67,becquerelsPerKilogram,0,1.28,15.38,0.9,becquerelsPerKilogram,15.38,1.56,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,0,2,NA,1.29,0.08,NA,9.33,1,becquerelsPerKilogram,155.14,8.16,171.81,8.07,becquerelsPerKilogram,16.67,11.48,becquerelsPerKilogram,NA,27.33,6.17,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,2,4,NA,1.66,0.08,NA,8.17,1,becquerelsPerKilogram,153.85,7.5,170.51,7.4,becquerelsPerKilogram,16.67,10.54,becquerelsPerKilogram,NA,6,5.17,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,4,6,NA,NA,NA,NA,8.33,0.83,becquerelsPerKilogram,155.14,8.13,171.81,8.05,becquerelsPerKilogram,16.67,11.44,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,6,8,NA,2.08,0.07,NA,8.67,1,becquerelsPerKilogram,148.59,7.84,165.26,7.75,becquerelsPerKilogram,16.67,11.02,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,8,10,NA,NA,NA,NA,9.33,1,becquerelsPerKilogram,113.87,5.81,130.54,5.69,becquerelsPerKilogram,16.67,8.13,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,10,12,NA,2.41,0.07,NA,13.67,1.33,becquerelsPerKilogram,124.52,6.21,141.18,6.1,becquerelsPerKilogram,16.67,8.71,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,12,14,NA,NA,NA,NA,12.83,1.33,becquerelsPerKilogram,94.05,4.9,110.72,4.76,becquerelsPerKilogram,16.67,6.83,becquerelsPerKilogram,NA,11.17,12,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,14,16,NA,NA,NA,NA,9.17,0.83,becquerelsPerKilogram,91.91,4.91,108.57,4.76,becquerelsPerKilogram,16.67,6.84,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,16,18,NA,1.54,0.06,NA,8.17,0.83,becquerelsPerKilogram,65.46,4.03,82.13,3.86,becquerelsPerKilogram,16.67,5.58,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,18,20,NA,NA,NA,NA,6.17,0.5,becquerelsPerKilogram,41.29,2.76,57.96,2.5,becquerelsPerKilogram,16.67,3.72,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,20,22,NA,NA,NA,NA,5,0.5,becquerelsPerKilogram,33.74,2.66,50.41,2.38,becquerelsPerKilogram,16.67,3.57,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,22,24,NA,2.03,0.07,NA,3.67,0.67,becquerelsPerKilogram,24.17,2.34,40.84,2.03,becquerelsPerKilogram,16.67,3.09,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,24,26,NA,NA,NA,NA,5.17,0.83,becquerelsPerKilogram,24.9,2.29,41.56,1.97,becquerelsPerKilogram,16.67,3.02,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_32,core,26,28,NA,NA,NA,NA,5.17,0.67,becquerelsPerKilogram,19.01,2.04,35.68,1.67,becquerelsPerKilogram,16.67,2.63,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,0,2,NA,1.48,0.03,NA,1.67,0.67,becquerelsPerKilogram,80.28,6.76,97.88,5.07,becquerelsPerKilogram,17.6,8.45,becquerelsPerKilogram,NA,15.17,5,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,2,4,NA,2.25,0.03,NA,2.67,0.5,becquerelsPerKilogram,65.38,6.21,82.98,4.3,becquerelsPerKilogram,17.6,7.55,becquerelsPerKilogram,NA,2.17,3.5,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,4,6,NA,NA,NA,NA,3.17,0.67,becquerelsPerKilogram,81.48,6.58,99.08,4.82,becquerelsPerKilogram,17.6,8.16,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,6,8,NA,2.2,0.04,NA,4,0.83,becquerelsPerKilogram,76.91,6.53,94.51,4.76,becquerelsPerKilogram,17.6,8.08,becquerelsPerKilogram,NA,6.83,5.67,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,8,10,NA,NA,NA,NA,4.33,0.67,becquerelsPerKilogram,47.27,5.57,64.87,3.33,becquerelsPerKilogram,17.6,6.49,becquerelsPerKilogram,NA,3.83,5.17,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,10,12,NA,1.72,0.05,NA,6.5,0.5,becquerelsPerKilogram,69.08,6.26,86.67,4.38,becquerelsPerKilogram,17.6,7.64,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,12,14,NA,NA,NA,NA,6.67,0.83,becquerelsPerKilogram,52.64,5.66,70.24,3.46,becquerelsPerKilogram,17.6,6.64,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,14,16,NA,NA,NA,NA,3.67,0.5,becquerelsPerKilogram,29.6,5.13,47.19,2.5,becquerelsPerKilogram,17.6,5.7,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,16,18,NA,2.51,0.05,NA,2.5,0.5,becquerelsPerKilogram,27.73,5.12,45.33,2.48,becquerelsPerKilogram,17.6,5.69,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,18,20,NA,NA,NA,NA,3.17,0.83,becquerelsPerKilogram,26.75,5.1,44.35,2.46,becquerelsPerKilogram,17.6,5.66,becquerelsPerKilogram,NA,5,15.17,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,20,22,NA,NA,NA,NA,1,0.67,becquerelsPerKilogram,11.19,4.76,28.79,1.63,becquerelsPerKilogram,17.6,5.03,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,22,24,NA,2.39,0.04,NA,0.83,0.5,becquerelsPerKilogram,6.97,4.7,24.56,1.44,becquerelsPerKilogram,17.6,4.92,becquerelsPerKilogram,NA,2,10.67,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,24,26,NA,NA,NA,NA,0.33,0.5,becquerelsPerKilogram,0,4.57,16.75,0.94,becquerelsPerKilogram,17.6,4.67,becquerelsPerKilogram,NA,2.67,11,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_41,core,26,28,NA,NA,0.05,NA,0,0,becquerelsPerKilogram,0.85,4.59,18.45,1.04,becquerelsPerKilogram,17.6,4.71,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,0,2,NA,1.25,0.09,NA,6.83,1,becquerelsPerKilogram,132.62,7.62,152.56,7.09,becquerelsPerKilogram,19.94,10.41,becquerelsPerKilogram,NA,41.17,6.67,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,2,4,NA,1.65,0.06,NA,7,0.5,becquerelsPerKilogram,158.96,8.85,178.89,8.4,becquerelsPerKilogram,19.94,12.2,becquerelsPerKilogram,NA,19,3.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,4,6,NA,NA,NA,NA,4.83,0.83,becquerelsPerKilogram,142.79,8.05,162.73,7.56,becquerelsPerKilogram,19.94,11.05,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,6,8,NA,2.5,0.07,NA,7.83,0.83,becquerelsPerKilogram,152.33,8.58,172.27,8.12,becquerelsPerKilogram,19.94,11.81,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,8,10,NA,NA,NA,NA,6.5,0.83,becquerelsPerKilogram,124.18,7.33,144.12,6.78,becquerelsPerKilogram,19.94,9.99,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,10,12,NA,1.85,0.06,NA,3.67,0.5,becquerelsPerKilogram,101.35,6.49,121.29,5.86,becquerelsPerKilogram,19.94,8.74,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,12,14,NA,NA,NA,NA,5,0.5,becquerelsPerKilogram,96.48,6.26,116.42,5.6,becquerelsPerKilogram,19.94,8.4,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,14,16,NA,NA,0.08,NA,4.33,0.67,becquerelsPerKilogram,81.69,5.66,101.63,4.93,becquerelsPerKilogram,19.94,7.5,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,16,18,NA,2.11,0.05,NA,4,0.5,becquerelsPerKilogram,64.35,5.06,84.29,4.23,becquerelsPerKilogram,19.94,6.59,becquerelsPerKilogram,NA,3,5.17,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,18,20,NA,NA,NA,NA,2.5,0.5,becquerelsPerKilogram,40.03,3.9,59.97,2.74,becquerelsPerKilogram,19.94,4.77,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,20,22,NA,NA,0.09,NA,2.67,0.67,becquerelsPerKilogram,12.71,3.22,32.65,1.62,becquerelsPerKilogram,19.94,3.61,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,22,24,NA,2.07,0.06,NA,1.17,0.5,becquerelsPerKilogram,4.22,3.04,24.16,1.23,becquerelsPerKilogram,19.94,3.28,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,24,26,NA,NA,NA,NA,1.17,0.67,becquerelsPerKilogram,2.77,3.02,22.71,1.18,becquerelsPerKilogram,19.94,3.24,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,26,28,NA,NA,NA,NA,0,0,becquerelsPerKilogram,0,2.94,16.69,0.94,becquerelsPerKilogram,19.94,3.08,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,28,30,NA,2.02,0.06,NA,1.17,0.5,becquerelsPerKilogram,1.8,3,21.74,1.13,becquerelsPerKilogram,19.94,3.2,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_42,core,30,32,NA,NA,0.08,NA,0.33,0.83,becquerelsPerKilogram,0,2.95,18.62,0.99,becquerelsPerKilogram,19.94,3.11,becquerelsPerKilogram,NA,0.5,294.83,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,0,2,NA,NA,NA,NA,7.33,0.83,becquerelsPerKilogram,175.22,8.38,195.33,8.3,becquerelsPerKilogram,20.11,11.79,becquerelsPerKilogram,NA,27.5,4.67,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,2,4,NA,NA,0.13,NA,8.33,0.83,becquerelsPerKilogram,213.27,10,233.38,9.93,becquerelsPerKilogram,20.11,14.1,becquerelsPerKilogram,NA,14.5,5.17,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,4,6,NA,NA,NA,NA,10,1.17,becquerelsPerKilogram,210.55,10.03,230.66,9.97,becquerelsPerKilogram,20.11,14.14,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,6,8,NA,NA,0.1,NA,8.83,1,becquerelsPerKilogram,173.08,8.52,193.19,8.44,becquerelsPerKilogram,20.11,12,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,8,10,NA,NA,0.11,NA,10.5,1.17,becquerelsPerKilogram,215.04,10.13,235.15,10.06,becquerelsPerKilogram,20.11,14.28,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,10,12,NA,NA,0.11,NA,13,1,becquerelsPerKilogram,147.82,7.32,167.93,7.23,becquerelsPerKilogram,20.11,10.29,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,12,14,NA,NA,NA,NA,10.17,1.17,becquerelsPerKilogram,129.29,6.6,149.4,6.5,becquerelsPerKilogram,20.11,9.26,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,14,16,NA,NA,0.11,NA,11.5,0.83,becquerelsPerKilogram,126.37,6.48,146.48,6.37,becquerelsPerKilogram,20.11,9.09,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,16,18,NA,NA,0.1,NA,15,1.33,becquerelsPerKilogram,111.71,5.85,131.82,5.74,becquerelsPerKilogram,20.11,8.19,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,18,20,NA,NA,0.11,NA,13.17,1.17,becquerelsPerKilogram,94.49,5.18,114.6,5.05,becquerelsPerKilogram,20.11,7.23,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,20,22,NA,NA,0.11,NA,9.33,1,becquerelsPerKilogram,79.85,4.58,99.96,4.43,becquerelsPerKilogram,20.11,6.38,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,22,24,NA,NA,0.1,NA,4,1,becquerelsPerKilogram,47.27,3.23,67.38,3.01,becquerelsPerKilogram,20.11,4.41,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,24,26,NA,NA,0.1,NA,4.33,0.83,becquerelsPerKilogram,37.57,2.84,57.68,2.59,becquerelsPerKilogram,20.11,3.84,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,26,28,NA,NA,0.09,NA,3.67,0.83,becquerelsPerKilogram,31.74,2.65,51.85,2.38,becquerelsPerKilogram,20.11,3.56,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,28,30,NA,NA,0.1,NA,2.5,1,becquerelsPerKilogram,22.8,2.33,42.91,2.01,becquerelsPerKilogram,20.11,3.08,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,30,32,NA,NA,NA,NA,3.17,0.83,becquerelsPerKilogram,18.42,2.19,38.53,1.85,becquerelsPerKilogram,20.11,2.87,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,34,34,NA,NA,0.11,NA,1.33,0.83,becquerelsPerKilogram,6.59,1.8,26.7,1.37,becquerelsPerKilogram,20.11,2.26,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
Tully_et_al_2024,S,S_50,core,36,36,NA,NA,0.1,NA,0,0,becquerelsPerKilogram,1.05,1.68,21.16,1.21,becquerelsPerKilogram,20.11,2.07,becquerelsPerKilogram,NA,0,0,becquerelsPerKilogram,NA,NA
